aaaa	工
gqje	裂
gqjg	珣 䴕
gqji	虺
gqjo	烈
gqju	虿
gqkh	趸
gqkm	殒
gqmd	殃
gqpe	迈
gqpw	殡
gqqj	殉
gqqo	麹
gqri	殊
gqto	熬
gqtb	聱 珋
gqtf	歼
gqtg	鳌 骜
gqtj	螯
gqtm	赘 嶅
gqtp	遨
gqtq	鏊
gqtr	殇
gqty	敖 獒
gqul	殚
gqv	兀
gqvh	琤
gqwg	殓
gqwc	殁
gqwe	殄 餮
gqxv	死
gqyy	玖 玓
griy	珠 瑔
grdf	碧
grg	珀
grgg	瑝
grqc	瑰
gryt	璬
gsi	末
gsh	玎
gsj	亍
gskg	珂
gssy	琳
gtu	麦
gtbt	琇
gtfm	瓒
gtfp	珽
gtgs	珩
gtkg	珞
gtky	瑀
gtln	璁
gtmk	珦
gtni	𬍛
gtol	璠
gty	玫
gufk	平
gudi	夹
gudb	郏
gudm	颊
guep	璲
guga	瑳
gujf	璋
gvhv	妻
gvey	珢
gvfy	𬍤
gvgh	珒
gvhb	郪
gviy	琭
gvkg	玿
gvtr	瑙
gvtk	珺
gwet	珍
gway	玳
gwbn	玱
gwdc	瑖
gwgj	瑜
gwgu	璒
gwjh	玠
gwn	玑
gwvt	玢
gwyc	玲
gwyg	琟
gwyk	琀
gxgd	互
gxge	瑑
gxhi	纛
gxiu	素
gxu	毒
gxwi	夷
gxxn	玭
gyi	玉
gyck	琉
gycq	珫
gygg	斑
gyki	琼
gyke	瓖
gylg	璮
gyoc	𤫉
gyrc	璃
gytg	班
gyth	璇
gyuh	𤧛
gyve	琅
gyxy	玹
gyy	玟
hgd	上
hani	虑
haag	虐
haee	虏
hagw	瞒
hagg	眶
hagp	遽
hagy	甗
hakd	虞
halg	瞄
haog	虚
haoq	觑
hary	眍
hawv	虎
hawe	彪
haww	虤
hayi	虔
hci	皮
hcdm	颇
hckg	眙
hctg	眸
hcwt	睃
hdhd	非
hdff	睚
hdhl	辈
hdhe	裴
hdhg	韭
hdhj	蜚 剕
hdhn	悲 翡
hdhs	棐
hdhy	斐
hdui	瞭
hdxy	眬
hdyg	䴗
hef	肯
hehc	瞍
heph	瞬
heqn	睨
hesy	睬
hfcy	歧
hfcl	瞌
hffg	眭
hfhw	瞋
hftj	睹
hfwf	睦
hgbn	盹
hgeg	睛
hgfh	盱
hghu	卡
hghg	凸 芈
hghn	眄
hgic	叔
hgih	督
hgnu	忐
hgoy	睐
hgvh	睫
hhgg	止
hhdm	频
hhdf	颦
hhhh	目
hhr	步
hhwy	瞿
hhwb	𨟠
hhwc	矍
hhwn	氍
hhxn	眦
hhy	卜
hipf	瞠
hieg	睄
hitt	眇
hjg	旧
hjfj	卓
hjfp	逴
hjsu	桌
hkf	占
hkay	战
hkmq	觇
hknn	乩
hkou	点
hlru	卤
hlra	鹾
hmu	贞
hmng	卣
hmqn	𪾢
hnr	卢
hnan	眠
hnbt	瞰
hndn	鼎
hndm	颅
hnmg	凹
hnmq	兕
hnqg	鸬
hnty	瞩
hoy	眯
hoqh	瞵
hovg	䁖
hpdk	瞎
hpgh	睿
hpgf	壑
hpjw	瞑
hpqn	眈
hqce	餐
hqco	粲
hqdy	瞻
hqiy	眺
hqqy	眵
hqug	盷
hqvh	睁
hrtf	睥
hrdh	睎
hsh	盯
hsfi	瞟
hsjf	瞫
htfg	睡
htfn	眊
htoy	瞅
htpy	眨
hujf	瞳
huxt	睇
hvey	眼
hwu	具
hwbc	龄
hwbe	龈
hwbf	龌
hwbg	龃
hwbh	龊 𬺓
hwbj	齿 𬹼
hwbk	龉 龆 𬺈
hwbn	龅 龁
hwbq	𫠜
hwbr	龂
hwbx	龇 龀
hwby	龋
hwgu	瞪
hwgd	睽
hwgg	睑
hwvt	盼
hwyo	瞧
hwyg	睢
hxn	此
hxff	些
hxmu	赀
hxqg	𫚖
hxqh	觜
hxsu	柴
hxwy	雌
hxxi	紫
hxyf	訾
hyxy	眩
iag	江
iadn	湛
iada	漭
iadr	澌
iadw	淇
iaet	潵
iafg	泔
iagg	洭
iagn	懑
iagw	满
iajd	漠
iaky	灌
iamw	潢
ian	汇
iann	泄
ians	渠 渫
iape	涝
iapi	潆
iaps	溁
iapy	滢
iaqg	鸿
iary	沤
iasu	柒
iatq	浇
iavt	沏
iavj	潇
iawy	洪
iawc	濩
iawk	溚
iawn	港
ibn	池 氾
ibcc	滠
ibet	泐
ibg	洱
ibhj	滍
ibib	涵
ibk	凼
ibtg	漋
ibws	滁
ibyy	汲
icy	汉
icag	泾
icde	渗
iceh	涌
icgh	泽
ickg	治
icnk	潏
icnm	滪
icqn	沇
ictd	涘
icwy	滩
icwt	浚
icyj	溞
icyy	汊
idu	尖
ideg	湖 洧
idet	沥
idff	涯 溽
idfn	洿
idg	沽
idhh	沣
idhc	滟
idiu	尜
idjn	淹
idmd	湎
idri	源
idtf	涛
idui	潦
iduw	㵐
idwt	溱
idxy	泷
idyy	汰 㳚
ief	肖
iebg	浮
iecn	淝
ieeg	滔 淜
iegg	沮
iegc	湲
iehc	溲
iejh	削
iekg	泇
iepd	逍
ieqo	潟
ietf	淫
iexd	溪
ifcy	法 沄
ifae	灞
ifam	𣸣
ifcl	溘
ifdj	濡
iff	尘
iffg	洼
ifh	汗 汁
ifhw	滇
ifje	潮
ifjh	汫
ifjn	瀚
ifkg	洁
ifke	澎
ifkf	澍
ifnn	污
ifnd	渎
ifnh	𣲗
ifpe	渤
ifpb	浡
ifpc	瀔
ifpi	溹
ifqn	沅 𣲘
iftj	渚
iftb	涍
iftn	洘
iftt	漖
ifwj	潜
ifwc	澪
ifxy	浅
igqb	光
igah	汧
igbn	沌
igdn	添
igeg	清
igef	溥
igey	浦 涿
igg	汪
iggc	潖
ighn	沔
igho	漹
igjg	洹
igjr	浭
igkh	滞 滆
igkg	浯
igki	涑
igkm	濑
igkw	漱
igmh	沛
igmi	洓
igmj	漕
igmy	渍
igoy	涞
igoj	溍
igqy	耀
igqj	洌
igql	辉
igqt	𬇕
igsy	沫
igud	浃
iguf	泙
igwg	举
igwu	兴
igwy	誉
ihty	小
ihan	滤
ihae	澽
ihaf	滹
ihcy	波
ihcv	婆
ihg	泪 沚
ihgc	淑
ihht	涉
ihhm	濒
ihhy	灈
ihit	渺
ihjf	淖
ihkg	沾
ihmy	浈
ihnt	泸
ihqg	瀣
ihwy	濉
ihxn	泚
iiii	水
iieg	消
iigq	洸
iiiu	淼
iimk	淌
iitt	沙
iite	裟
iitg	鲨
iitr	挲
iitv	娑
ijlg	温
ijai	瀑
ijf	沓
ijfg	涅 浬
ijg	汨 汩
ijgd	淏
ijgh	湜 浉
ijiq	滉
ijlc	漫
ijng	溻
ijog	湿
ijqn	渴
ijtl	滥
ijxx	混
ijy	浊
ijym	灏
ikhm	溃
ikcn	浥
ikeg	涓
ikf	呇
ikhk	潞
ikhy	浞
ikjn	渑
ikks	澡
ikkn	漶
ikmw	涡
ikmy	涢
ilrh	渐
ilaw	潩
ildg	涸
ildj	瀱
ildy	洇
ileg	渭
ilfh	涠
ilg	泗 沺
ilge	溷 澴
ilgj	淠
ilgy	𬇹
ilkg	洄
ilpy	涟
ilwy	泅
ilxi	漯
img	油
imau	澧
imaw	淟
imdj	湍
imdy	泱
imeg	滑
imfy	溅
imgk	洞
imgn	涄
imgt	溦 澂
imh	汕
imjh	测
imkf	尚
imkg	泂
imkn	氅
imkt	敞
impi	漴
imwn	涔
imwy	汭 漼
imy	𬇙
inxn	泥
inan	泯
inaj	湣
inbb	潺
inbt	澉
infy	漏
infh	汛
ingf	渥
ingg	汈
inhg	湄
inhe	湑
inkf	澼
inmj	涮
inn	汜
inrt	汤
inro	烫
inry	𬍡
inty	泼
intd	湉
intt	泌
inwe	漻
inwy	濯
iny	沁
inyu	浕
iooy	淡
ioac	渡
iojf	瀍
iolw	瀵
ionx	漉
iono	瀌
ioqh	潾
iouo	濂
iovk	溏
iovg	溇
ioy	洣
ipbf	学
ipaw	黉
ipbt	敩
ipdf	𬒈
ipey	浓
ipfc	尝
ipfi	淙
ipfq	浣
ipgw	演
ipgg	泻 渲
ipgh	淀
iphn	涫
ipjw	溟
ipkq	党
ipkb	䣘
ipke	裳
ipkf	堂
ipkh	常
ipkm	赏
ipkr	掌
ipks	棠
ipkt	牚
iplh	浑
ipmq	觉
ipmj	峃
ipqn	沈
ipqb	涴
ipqg	鲎
iprw	滨
ipsh	泞
iptk	喾
ipuf	滓
ipws	深
ipwk	溶 滘
ipwn	沉
ipxn	沱
iqcy	沟
iqay	泜
iqdy	澹
iqdb	洈
iqeg	澥
iqg	淦
iqgg	渔
iqgj	澛
iqiy	洮
iqjg	洵
iqkg	泃 洺
iqkq	浼
iqmd	涣
iqnn	泡
iqrm	淘
iqrn	淴
iqtk	漪
iqtb	泖
iqtj	潴
iqvn	㴔
iqy	汐
iqyl	溜
iqyy	汋
irey	派
irbh	汹
irde	淆
irdf	湃
irdh	浠
irg	泊
irgg	湟
irgw	浜
irh	沂
iriy	洙
irnn	汽
irrh	浙
irvc	溵
iryt	激
iskg	河
isfi	漂
isfg	湮
isg	洒
isgg	酒
ish	汀
ishg	湘
isjf	潭
isjg	渣
isrh	淅
issy	淋 溧
isse	潸
issh	濋
issv	漤
iswi	漆
iswc	淞
isy	沐
isyy	沭
ite	少
itah	洚
itdg	活
itdh	浲
itdq	鋈
itdy	沃
iter	劣
itfk	浩
itfq	洗
ithf	省
ithg	洎
ithj	濞
ithp	涎
ithy	溴
itie	潲
itjh	浰
itkg	洛
itlg	洫
itmd	澳
itni	泺
itnn	汔
itol	潘
itoh	渊
itoy	湫
itpy	泛
itry	涐
itsy	涤
ittn	滗
itxy	海
iugh	洋 泮
iuah	洴
iube	溯
iuej	湔
iug	泣
iuga	溠
iugd	渼
iugg	润
iugi	澜 漾
iujg	涧
iujf	潼 漳
iukg	涪
iuog	湴
iuoj	潽
iutt	浐
iuwl	溢
iuxx	滋
iuxt	涕
ivf	当
ivcq	溉
ivfy	浔
ivg	汝
ivgh	津
iviy	渌
ivkg	沼 洳
ivlg	淄
ivn	氿
ivpc	浸
ivsu	染
ivws	梁
ivwo	粱
ivyh	涩
iwcy	没
iwbn	沧
iwcn	滃
iwdy	洑
iwef	脊
iweg	鹡
iwfc	浍
iwfi	漈
iwgs	涂
iwga	瀹 渰
iwgc	溆
iwgf	㽏
iwgj	渝
iwgk	洽
iwgt	潋
iwgu	澄
iwhe	滫
iwht	浟
iwkg	沿
iwow	濮
iwru	滏
iwry	沨 㳇
iwvt	汾 洢
iwvl	湓
iwwk	浴
iwxn	沦
iwyg	淮
iwyc	泠
iwyf	雀
iwyk	浛
ixty	涨
ixcy	泓
ixjh	沸
ixuu	溺
ixwy	潍
ixxn	沘
ixxr	湝
iyck	流
iyce	淯
iycq	鎏 㳘
iyct	澈
iycy	瑬
iygg	注
iyhy	汴
iyjh	济 浏
iykb	淳 漷
iyke	濠 瀼
iyks	渟
iylg	澶
iynt	沪
iyni	泳
iyny	瀛
iyox	湾
iyos	滦
iyrc	漓
iyth	洲 漩
iytb	游
iytf	浒
iyty	沩
iyud	滴
iyuy	滂
iyve	浪
iywy	液
iywe	滚
iywf	淬
iywn	沆
iywr	洨
iywt	滧
iywu	淤
iyxy	泫 澭
iyy	汶
jghu	是
jawi	暴
jada	蟒
jadw	蜞
jafg	蚶
jag	虹
jagw	螨
jaht	蚜
jaiy	𬟽
jajg	蜡
jajd	蟆
jajv	蝘
jakg	蜮
jakw	暵
jamw	蟥
jans	蝶
jape	蠓
japs	蝾
jatq	晓 蛲
javj	蟏
jawc	蠖
jbcu	最
jbg	虸
jblg	蜢
jcxi	紧
jcaj	昪
jcef	肾
jceh	蛹
jcff	坚
jcfg	蛏
jcgg	蚂
jcmu	贤
jcn	蚆
jctg	蛑
jcuf	竖
jcwt	晙
jdfe	晨
jdeg	蝴
jdff	蝰
jdg	蛄
jdgq	蛎
jdhh	蚌
jdny	晟
jdri	螈
jdwj	蝽
jdwu	昃
jdxy	昽
jeg	明
jebg	蜉
jegc	暖 㬊
jegg	蛆
jehc	螋
jelf	盟
jepc	暧
jepa	曌
jfy	时
jfch	野
jfce	蜐
jfcf	墅
jfcu	昙
jfd	里
jfdj	蠕
jffg	蛙
jfh	旰 虷
jfiy	昧
jfj	早 旱
jfke	蟛
jfkk	暿
jfmf	蝻
jfnh	𬀩
jftj	暑
jfwy	蚨
jgjf	量
jgcf	蛭 晊
jgdu	昊
jgeg	晴 蜻
jgey	晡
jgf	旦
jgfh	旴
jgg	旺
jghm	题
jghh	韪
jghx	匙
jghy	虾
jgjg	晅
jgjn	蟪
jgkg	晤
jgkh	䗖
jgkj	蝲
jgkl	蝠
jgli	暕
jgmh	师
jgmj	螬
jgmw	昺 蛃
jgud	蛱
jguf	蚲
jhk	申
jhet	勖
jhf	冒
jhhc	蠼
jhjf	晫
jhny	虫
jhng	曰
jhnr	畅
jigq	晃
jieg	蛸
jipf	螳
jjjj	日
jjai	曝
jjf	昌
jjgh	蛳
jjjf	晶
jjqn	蝎
jjqr	蜴
jjsy	蜾
jkjn	蝇
jkeg	蜎
jkgd	蜈
jkgf	冔
jkmw	蜗
jlfj	曙
jlcu	曼
jlf	蛊
jlgy	蝈
jlkg	蛔
jlqj	蠋
jlxi	螺
jmhp	遇
jmag	蛐
jmaw	晪
jmdy	映
jmfg	蚺
jmfk	蜩
jmg	蚰
jmhn	愚
jmhh	帅
jmhm	颙
jmhy	禺
jmj	旵
jmqn	蚬 𬀪
jmwy	蚋
jnv	电
jngg	暅
jnhc	暇
jnn	虬
jnpd	遢
jnrt	旸
jnwy	曜
jnxn	昵
jogf	显
jooy	晱
jot	旷
jou	炅
jouo	蠊
jovg	蝼
jovk	螗
jplj	晕
jpgg	暄
jpjw	螟 暝
jplh	晖
jpqb	蜿
jpvf	晏
jpxn	蛇
jqkq	晚 冕
jqbj	昂
jqdy	蟾
jqiu	晁
jqkg	昫
jqko	煦
jqrr	易
jqrj	剔
jqrt	昒
jqtb	昴
jqug	昀
jqww	歇
jqwg	鹖
jqwn	曷
jqwp	遏
jrgg	蝗 蚯
jrcy	昄
jrdh	晞
jrh	昕
jriy	蛛
jrtf	蜱
jrwy	昳
jsi	果
jsdm	颗
jsfi	螵
jsg	晒
jsjf	蟫
jsqq	夥
jsrh	晰 蜥
jsu	杲
jthf	昨 蚱
jtaj	昇
jtdh	蜂
jtdg	蛞
jtdk	蜘
jtfh	旿
jtfn	蚝
jtfp	蜓
jtgf	星
jtga	戥
jtgo	曛
jthk	晷
jthn	螅
jthp	蜒
jtjh	蜊
jtjt	蝮
jtmk	晌
jtnn	虼
jtol	蟠
jton	蟋
jtry	蛾
jttp	䗴
jtuf	蝌
jtxy	晦
jtyg	临
jtyl	监
jtyq	鉴 览
jujg	暗
judb	蜷
juf	昱
jufh	蚪
jufq	蜣
jugy	曦
jugh	蛘
jugk	蟮
jujf	蟑 暲 曈
jukq	蜕
julh	蝉
jusg	蝤
juwl	螠
jvg	归
jvb	旯
jvko	照
jvkg	昭
jwgk	蛤
jwcy	蚣
jwet	昣
jwgd	暌
jwgj	蝓
jwgs	蜍
jwhe	䗛
jwjh	蚧
jwn	虮
jwxf	晔
jwyk	晗
jwyc	蛉 昤
jwyp	暹
jxxb	昆
jxe	曳
jxet	蚴
jxhh	蚓
jxxg	鹍
jxxn	蚍
jxxo	㬎
jyki	景 晾
jyct	㬚
jygg	蛀
jyjh	蛴
jyke	影 曩
jykm	颢
jykt	暾
jyna	蝙
jynn	虻
jynt	昈
jynw	晐
jyry	蚁
jyrc	螭
jyt	昉 蚄
jytb	蝣
jyth	暶
jyu	旻
jyuy	螃
jyvb	螂
jyve	㫰
jywr	蛟
jyxf	蟀
jyxy	昡
jyy	蚊
khk	中
kaht	呀
kadr	嘶
kadk	喏
kagg	哐
kajn	噶
kake	嘞
kalg	喵
kamh	咂
kamy	唝
kann	呓
kans	喋
kape	唠
kary	哎 呕
katq	哓
kawy	哄
kawc	嚄
kawk	嗬 嗒
kayk	嚆
kbsk	啊
kbcc	嗫
kbg	咡
kbh	叩
kbhj	嗤
kbmh	咄
kbnn	吼
kbxy	戢
kbyy	吸
kcn	吧
kcb	邑
kccs	嗓
kccc	啜
kcep	嗵
kcgg	吗
kckg	咍
kcqn	吮
kctd	唉
kctg	哞
kcwt	唆
kcy	叹
kdmy	顺
kdbn	呃
kdet	呖
kdff	喹
kdg	咕
kdgy	喊
kdha	嘎
kdhg	呸
kdht	嗄
kdhy	嘁
kdjf	喱
kdjn	唵
kdoy	咴
kdpy	哒
kdtb	𠳐
kdui	嘹
kduw	噘
kdwg	唪
kdwt	嗪
kdxy	咙
kdyy	吠 呔
ker	另
kegg	咀
kehc	嗖
kejh	别
kekg	咖
kelf	嚼
kepc	嗳
keqg	鹃
ket	叻
kfh	叶
kfam	喷
kfcy	吱
kfcl	嗑
kfdj	嚅
kffg	哇
kfg	吐
kfhw	嗔
kfiy	味
kfje	嘲
kfkk	嘻
kfke	嘭
kflb	鄙
kfmf	喃
kfoy	哧
kfpi	嗦
kfpb	哱
kfph	嚏
kfpu	噎
kfqn	呒
kftj	嗜 啫
kftb	嘟 哮
kfwy	呋 嚯
kgnb	号
kgah	哢
kgbn	吨
kgbh	郢
kgcf	咥
kgdu	吴
kgey	哺 啄
kgf	呈
kgfh	吁
kghy	吓
kgjr	哽
kgjg	咺
kgkw	嗽
kgke	囔
kgkg	唔
kgkh	嗝
kgkj	喇
kgmj	嘈
kgmy	啧
kgne	饕
kgng	鸮
kgog	哑
kgon	𫫇
kgpd	逞
kgqj	咧
kgqt	嗷
kgty	唛
kgxw	咦
kgxi	嗉
khan	距
khae	噱
khag	嘘
khaj	躇
khaq	跷
khas	蹀
khaw	唬 蹒
khay	躏
khbc	蹑
khby	趿
khch	踊
khck	跆
khcs	蹂
khdn	跨
khdd	啡
khdf	踌 蹰
khdg	跖
khdi	蹽
khdk	踦
khdp	跶
khdw	蹶
khdy	跋
khes	踩
khed	蹊
khee	蹈
kheg	啃
khek	跏
khfy	践
khfc	跂
khff	跬 跱
khfw	趺
khgm	贵
khga	趼
khgh	咔
khgp	遗 遣
khhg	趾
khhc	跛
khhf	踔
khhx	跐
khij	踏
khie	蹐
khif	蹚
khjr	踢
khjh	踶
khjn	蹋
khjs	踝
khks	躁
khlf	盅
khlj	躅
khme	蹦
khmg	跚
khmj	踹
khnu	忠
khnd	踞
khnn	跽
khoc	踱
khof	躔
khok	踮
khow	蹼
khpi	踪
khph	蹿
khpj	蹜
khpx	跎
khqn	跑
khqb	跪
khqi	跳
khqy	趵
khrw	跌
khrm	踬
khsg	蹅
khtd	跃
khtf	踵
khtg	鹭
khti	跞
khtk	路 踟
khtl	蹯
khtm	躜
khtp	跹
khtq	跣
khtv	踒
khty	踽
khu	足
khua	蹉
khub	踯
khuf	蹲
khuj	蹭
khuk	踣
khve	跟
khvn	躐
khvp	踺
khwy	趴
khwb	啮 跄
khwf	跗
khws	跺
khwu	蹬
khxh	嘴
khxf	跸
khxn	呲
khxy	𧿹
khy	卟
khya	蹁
khyc	躞
khyd	蹢
khye	踉
khyh	蹄
khyj	跻
khyr	跤
khyt	蹾
khyy	蹴
kitt	吵
kieg	哨
kigq	咣
kihc	啵
kimy	唢
kipf	嘡
kitx	嗨
kju	虽
kjbc	嘬
kjfg	哩
kjhh	呻
kjjg	唱
kjmy	喁
kjnb	黾 𫑡
kjqn	喝
kkf	吕
kkak	嚚
kkcg	骂
kkdk	器 嚣
kkdy	哭
kkfb	鄂
kkfg	鹗
kkfm	颚
kkhk	串
kkhn	患
kkkf	品
kkkk	口
kkks	噪
kkln	鼍
kkpf	斝
kkwb	咒
klge	喂
kldy	咽
kldn	嗯
kleg	喟
klfo	嘿
klfy	啭
klh	呷
klqy	啰
kmu	员
kmak	嗣
kmbh	郧
kmdj	喘
kmdy	咉
kmet	勋
kmee	嘣
kmfk	啁
kmgk	哃
kmhj	吊
kmmv	嘤
kmqy	哕
kmwy	呐
kmwj	剐
kmwu	呙
kmy	呗
knhh	叫
kngb	哪
kngf	喔
kngg	叼
knkf	噼
knmj	唰
knnw	噀
knty	嘱
kntt	咇
knxn	呢
kny	吣
koss	嘛
kogw	噗
kooy	啖
kovg	喽
koy	咪
kpgg	喧
kpaf	噻
kpdk	嗐
kpey	哝
kpgh	啶
kpnm	嘧
kpsh	咛
kptk	喀
kpta	咤
kpwi	嚓
kqb	兄
kqgj	噜
kqmd	唤
kqng	呜
kqnn	咆
kqqy	哆
kqrt	吻
kqrm	啕
kqrn	唿
kqwy	吹
kqyg	鸣
krh	听
kran	唣
krcy	呱
krdh	唏
krdf	嗥
krey	哌
krgg	喤
kri	史
krrg	啪
krrh	哳
krtf	啤
krug	啦
ksu	呆
ksfi	嘌
ksg	哂
ksh	叮
ksjg	喳
kskg	呵
kssi	噤
kssy	啉
ktnn	吃
ktaw	噬
ktan	吒
ktfg	唾
ktgh	吽
kthg	咱
kthf	咋
kthh	川
kthy	嗅
ktjf	嘚
ktkg	咯
ktmk	响
ktmd	噢
ktoy	啾
ktry	哦
ktuf	呼
ktuy	咚
kujn	噫
kube	嗍
kuga	嗟
kugh	咩
kuhh	吖
kujf	噇
kujg	喑
kulh	啴
kulj	噌
kunt	㘎
kusf	噂
kuvg	唼
kuwl	嗌
kuxx	嗞
kvij	啸
kvcb	唧
kvcy	呶
kvey	哏
kvt	叨
kwu	只
kwbn	呛
kwcn	嗡
kwfk	啥
kwfc	哙
kwfy	咐
kwgk	哈
kwgj	喻
kwgu	噔
kwn	叽
kwnd	喉
kwrq	嗲
kwry	㕮
kwsy	咻 哚
kwvt	吩 咿
kwwf	唑
kwxf	哗
kwy	叭
kwyc	噙 呤
kwyg	唯
kwyn	吟
kwyo	噍
kxqy	哟
kxet	呦
kxge	喙
kxhh	吲
kxn	叱
kxxf	哔
kxxg	咝
kxxn	吡
kxxr	喈
kxy	吆 呣
kywr	咬
kyce	唷
kyg	唁
kyke	嚷 嚎
kykb	哼
kynw	咳
kyni	咏
kyny	唳
kytd	嗾
kyuh	啼
kyud	嘀
kyvb	啷
kywn	吭
kywf	啐
lgyi	国
lakg	羁
laay	轼
lbnn	辄
lbwf	墼
lcag	轻
lccu	轰
lccc	辍
lcns	𫐓
lcwt	畯
ldi	因
ldbn	轭
ldd	固
lded	囿
ldf	罟
ldg	轱
ldhu	罘
ldjn	罨
ldnu	恩
ldoj	罽
ldsk	畸
ldtf	畴
ldwd	辏
ldy	轪
ldyy	畎
ler	男
lef	胃
leqn	𫐐
lfte	团
lfcu	罢
lfco	罴
lffg	畦
lffy	畤
lfh	轩
lfhf	置
lfke	辕
lfmf	罱
lfny	转
lfnh	围
lfou	黑
lfod	黩
lfoe	黝 黪
lfof	墨
lfoi	黥
lfoj	黯
lfok	黠
lfom	黜
lfon	黔
lfoq	黟
lfot	黢
lfoy	默
lfqv	园
lftj	署
lfuf	圉
lgnh	车
lgbn	囤
lgcf	轾
lgey	辅 圃
lged	圊
lgeu	畏
lghf	罡
lgjj	畀
lgkl	辐
lgkd	圄
lgkg	鹮
lgkn	翾
lgmw	辆
lgqn	𫐄
lhng	四 皿
lhdd	罪
lhjf	罩
lhnh	甲
lhnt	轳
ligq	𨐈
ljxx	辊
ljlg	辒
lkd	回
lkbg	辑
lkmi	圆
lkwy	轵
llll	田
llge	圜
lllm	罍
llye	圐
lmg	轴
lmdj	圌
lmun	辋
lnu	思
lnae	辗
lng	翈
lnn	轧
lnwe	疁
lnwy	罹
lonx	辘
loqh	辚
lpk	连
lpdk	辖
lpqb	畹
lqu	罗
lqan	𬨂
lqju	蜀
lqpi	逻
lqre	囫
lqwy	软
lqyg	鸭
lqyl	罶
lrh	斩
lrcy	畈 畖
lrff	堑
lrjf	暂
lrqf	錾
lrsu	椠
lrwy	轶
lsi	困
lsh	町
lskg	轲
ltui	图
ltdj	轿
ltey	辀
lti	囷
ltkg	略 辂
ltni	轹
ltuf	轷
lty	畋
ludb	圈
luep	𫟦
lugh	畔
lujf	疃
lulj	罾
lusg	𬨎
lvn	轨
lvd	囡
lvkg	轺
lvlg	辎
lvyy	轫
lwjj	界
lwdd	圙
lwet	轸 畛
lwgj	输
lwgg	辁
lwi	囚
lwxn	轮
lwxv	囵
lwyc	囹
lxiu	累
lxxn	毗
lxxk	辔
lywr	较
lyct	辙
lyf	詈
lyjj	罚
lyki	辌
mgkd	同
mad	曲
madn	嵁
madt	贼
mafw	嵌
maht	岈
maiu	岽
mang	岠
maps	嵘
mape	崂 㠓
mary	岖
matq	峣
mawu	典
mbh	邮
mbib	崡
mbyu	岌
mcwt	峻
mcb	岜
mcgh	峄
mckg	贻
mdi	央
mdeg	贿
mdet	𫵷
mdf	岩
mdfe	赈
mdff	崖
mdfj	岸
mdg	岵
mdgy	崴 嵅
mdhb	酆
mdjn	崦
mdlf	盎
mdlj	𪨶
mdmj	耑
mdmm	颛
mdmp	遄
mdmy	𬱖
mdou	炭
mdqg	鸯
mdsk	崎
mef	骨 胄
medp	髓
medg	骷
meef	崩
megg	岨
mejs	髁
mejy	髃
melj	髑
mene	髎
meov	髅
mepq	髋
mepk	髂
mepw	髌
meqg	鹘
meqy	骶
merf	髀
merk	骺
metk	骼
mewc	骰
mewj	骱
meyw	骸
mfkd	周
mfcy	岐
mfd	冉
mffy	峙
mfff	崶
mfhy	赋
mfhm	巅
mfky	雕
mfmy	𪩘
mfnd	赎
mfng	䎃
mfqw	崁
mftt	财
mftj	赌
mfwt	崚
mfxy	贱
mgud	峡
mgah	岍
mgef	赙
mgee	豳
mgiy	赇
mgjg	峘
mgkg	峿
mgkh	𫶇
mgng	屿
mgoy	崃
mgqj	峛
mgqn	屼
mhng	由
mhaa	巇
mhae	幪
mhdf	帱
mhfh	帏
mhgl	幅
mhgm	帻
mhhk	帖
mhhc	帔
mhhm	帧
mhjh	帽
mhjc	幔
mhjq	幌
mhk	巾
mhkg	贴
mhkw	帜
mhly	帼
mhnf	幄
mhny	贝
mhow	幞
mhrg	帕
mhrw	帙
mhsi	幖
mhty	帐
mhtl	幡
mhuf	幢 幛
mhua	帡
mhuq	帨
mhwy	帆 帷
mieg	峭
miwe	嵴
mjh	则
mjhg	赗
mjmy	嵎
mjqr	赐
mjvf	岿
mkpd	迥
mkkn	崿
mkqn	贶
mlrj	崭
mldf	崮
mlh	岬
mlnu	崽
mmmm	山
mmag	𪨰
mmfk	赒
mmgd	册
mmg	岫
mmgj	删
mmgk	峒
mmh	屾
mmmu	赑
mmqn	岘
mmru	岗
mmrm	罂
mmvf	婴
mmvg	鹦
mnb	岂
mnan	岷
mnbm	崛
mndg	崌
mndm	𫖮
mngk	㟃
mnhg	嵋
mnjh	剀
mnmq	觊
mnn	屺
mnrg	嶍
mnwn	凯
mnyu	赆
mofg	赃
mooy	赕
moqh	嶙
movg	嵝
mpd	迪
mpfi	崇
mpgg	贮
mpk	辿
mpwa	崆
mqb	见
mqbd	觃
mqcy	购
mqdy	赡 嶦
mqdb	峗
mqf	崟
mqjg	峋
mqjh	刿
mqkg	岣
mqky	巉
mqng	翙
mqqw	嵚
mqtb	峁
mqu	岁
mqvh	峥
mrjh	刚
mrcy	贩
mrde	崤
mri	冈
mrqc	嵬
mrri	网
mskf	岢
msjg	嵖
msvg	崾
mswc	崧
mty	败
mtay	账
mtdh	峰
mtdj	峤
mthf	岞
mths	嵲
mtkg	赂
mtnn	屹
mtol	嶓
mtpy	贬
mtry	峨
mtux	嵊
mtuy	峂
mtvc	巍
mulj	赠 嶒
muga	嵯
mujf	嶂
mukg	赔
musf	嶟
muvo	赚
muxx	嵫
muyn	罔
mwi	内
mwfi	赊
mwgg	崄
mwgj	嵛
mwgu	嶝
mwkd	冏
mwru	岚
mwwi	肉
mwwk	峪
