aaaa	工 㠭 ⼯ 𪛜
gbuo	𡴢
gbul	𥂉
gbwb	𠘸
gbwy	𡴉
gby	玻
gbyy	𪻏
gcjh	到
gcah	㺹
gcas	𣓪
gcbh	郅
gcbg	𫇐
gcby	𰤣
gccj	晉
gcca	戩
gccc	𦥀
gccd	𭑘
gcce	𤨵
gccf	𭎆
gcci	𤩨
gcck	𠸲
gcco	𤐦
gccs	𦥅 𪼏
gcdt	臻 𦥍
gcdb	臶
gcrc	𮍡
gcdd	𦥇
gcdg	𮍣
gcdh	𦤹
gcdi	𬛴 𬛵
gcti	𦓩
gcdm	𩒐
gcdn	臹
gceg	㻆
yceb	𨛼
ycec	𣪟
gcee	𬍺
gceh	𭺢
ycej	𪟆
ycen	𠃴
ycey	𨿾
gcf	至 ⾄
gcfi	𫀀
gcft	𫇑 𭤈
gcg	玛
gcgb	𨟕
gcgc	臸 𦥏 𬛳
gcge	𦠮
gcgf	𦤳
gcgh	𫠮
gcgj	㬜
gcgp	𨖹
gcgw	𬛶 𬛷
gcgy	𮍠
gch	𤤂
gchc	𦤺
gchq	𧠫
gchu	𤴛
gci	𠫓 𠫔 𡯅 𬎤  ㄊ
gcib	𨚸
gciu	𠀚
gcix	𣼿
gcjc	𠭩
gcjg	𦤾
gcjk	𥓬
gcjy	瑵
gckg	珆
gckf	𠵤
yckl	𧰖
gclc	𤦱
ycly	𬬘 𦣔
gcly	𫎣
gcmk	璚 𤧱
gcmw	𦥃
gcmy	𧵼
gcn	鿱
gcnh	𤴖 𬍩
gcnu	𢡴
gcnx	𦤽
gcoy	瑪
gcpd	𨒬
gcph	𰍎
gcqo	鵄
ycqb	充 充 𠘺
gcqg	𠒩 𬸈
gcqh	𰁓
gcqi	𠒨
gcqn	玧
gcqt	𪻰
gcqw	𣢶
gcqy	𦤷
gcsy	瑈
gcsk	𫇎
gcst	𢾣
ycsu	𣏋  𰗭 𭫋
gcsu	𣏏 𣓧
gcsw	𫇏
gcty	致 𛁧 𦤶
gcta	䶍
gctf	𡍶
gctk	臵
gcu	丟 𰀈
gcul	叀
gcvj	𦥌
gcvy	䑒
gcwh	𪠜
gcwt	㻐
gcww	𧈌
gcwy	𨾽 𬛱
gcy	㺨 𪻍
gdi	天 𛁲 𛁱 𤭖
gdae	㻟
gdap	𤩼
gdas	𦧤
gdbh	
gdbn	𦧇
gdcb	𪥉
gdcq	𦧊
gdcy	𤣾
grcy	𭸸
gdd	
tddi	𦧳
gddj	𪼩
gddn	𤪳
gddv	㻰
gdeg	瑚 珛
gde	
gdeb	𰋡
tdec	𦧦 𤚨 𤛽 𤜏
gdef	𦙖
gdep	𤨂
gdet	瓇 𤫘
gdfc	𦧉 𭑆 𭑇
gdfi	𪻦
tdfj	𦧏
gdfn	𰋮
gdfu	𮦇
gdgk	瑊
gdg	𪻕
gdgd	𰋟 𭑈 𡙎 𰋩 𡚌 𦧚 𦧵
tdgf	𦧆 𥏝 𰦟
gdgh	𬻊
gdgj	蠺 蝅 𭧣
gdgm	𮚌
gdgs	𣓁
gdgw	𦧖
gdgy	珬
gdhy	环
gdh	玤
gdhb	珔
gdhd	䨿
gdhf	𡗶
gdhg	㺽 䪞
gdhh	𤩵
gdhi	𤨟
gdhj	𡗘
gdht	𤧶 𤫕
gdiu	忝 沗 𭕇
gdia	𢧏
gdij	𦧟
gdiy	𰡺
gdju	蚕
gdjb	𪻶
gdjd	瓸
gdje	奣
gdjf	甅 昋 𣂐 𪻵 𭑙
gdjg	𤤿
gdjh	𦧧
gdjj	𡗤 䗞 䘉
gdjn	𢡰 𦧭
gdjr	𤾄
gdjt	𰋭
gdjx	𫯬
gdkf	吞
gdkd	𡯝
gdke	𫫹
ygdk	𮀒
gdkg	𤤟 𩐄 𬍘
gdkh	𠁖
gdkk	𤨯 𰈟
gdkl	𦧴
gdkp	𬨦
gdkw	𰈩
gdlu	䵡
gdlf	𤰳
gdli	𦧲
gdlk	𬍭
gdls	𤨀
gdmy	顼 頊 䪲 𩓏 䪲
gdmd	瑌
gdmh	𤤰 𭹄
gdmk	𦓓
gdmm	𰢏
gdmn	𪻟
gdmp	𨘀
gdmv	𤧋
gdny	珹 𡯊
gdnc	𮭶
gdnb	𡗙
gdno	𮭷
gdnr	𦧱
gdnu	㤁
gdom	𰀙
gdpi	迗
gdpx	𦧑
tdpk	𦧮 逢 𢌢
gdpn	𫯸
gdqo	鴌
gdqn	𤥣
gdqw	𣢯
gdqy	𦧻
gdrc	𦧔
gdri	𪼆
gdrr	𪼐
gdru	𰋪
gdry	𤤒
gdsk	琦 𡘸
gdsj	𡗣
gdsm	𦧺
gdth	瓑
gdta	𦧌
gdtb	𦧓
gdtp	𦧝
gdty	𤪾
gdui	璙
gdu	㺯
gdub	𮤮
gduf	𣁳
gduh	辞
gdul	𦧼
gdun	𡙶
gduo	𤪃
gdup	𡚑
gduy	𰋯
gdvf	𡛌
gdvd	𤧃
gdvi	𤩦
gdwy	琪
gdwd	𬍴
gdwf	璂
gdwg	琫
gdwi	𤪌 𪼃
gdwj	瑃
gdwm	𦧣
gdwn	㻣 𦧈
gdwr	𤩐
gdws	𤩒
gdwt	瑧
gdww	𤥵
gdxy	珑
gdxe	𦧫
gfxy	𬍙
gdy	㺴 𭸿
gdyi	𬎦
gdys	𦧢
geu	表
geac	䨼 𩇥
geag	𬥂
geah	𧲒
geap	𰶫
geaq	𩇗
gear	𧰿
geau	𩇡
geay	䝔 𧱼
gebg	琈
gebb	䝕
gebc	𧱛 𰶧 𬥄
gebe	䝐 𰶭
gebf	𦕴
gebh	郬 𨛤 𰶥
gebi	䝒
gebk	𮙚
gebm	𧰹
gebt	𬤻
geby	𧰸
gecn	豝
gecc	䝌 𧱰
geck	𩇚
gedi	豲
gedc	𧰯
gedd	𧱪
gede	𧱫 𧱽 𧱓
gedk	𤨦
gedm	𩓨 𩓳
gedo	𧱉
gedp	𧲈 𫐾
gedq	𮙤
gedy	𧰰
geeh	靜
geec	𧱮 𧱯
geed	豯 𫎈
geee	珕 𧱑
geeg	豠 瑫 㻚
geeo	𧲄
geep	𨘹 𨙆
geeq	𧱀 𧱻 𩇜 𰶨
geet	𩇕
gef	青 ⻘
gmhg	靑 䪟 䪣 𩐊 ⾭ 𬰘
gefb	𧱐
gefg	䝅
gefj	豬
gefk	𧲙
gefl	豷 𩇠
gefm	豶 豮
gefo	𩇞
gefp	𨔿 𰻛
gefs	櫫
gefw	𰶰
gegc	瑗
geg	玥 𬁶 玥 𭹉
gega	豜
gegh	豣 䝊 𤧏
gegb	豘
gegd	𧱠 𧱾
gege	豩 𧲏 𫕻
gegf	𫎅
gegg	珇 𧱂 𧱖
gegj	𧲟
gegk	𬤿
gego	燹
gegt	𩇣
gegw	𤫌 𧱅
gehy	甫
geh	𤤪
geha	𧲘
gehc	𧱊 𧱣 𬎝
gehe	𧲋
gehm	𧰶
gehq	靚 𧲍
gehx	𧱗
nnru	豕
geig	靗
geii	𬎰
geir	𩇢 𪼰
geiy	璵
gejj	蟸
gejh	𠝜 𫦀
geji	𧲐
gejl	豱
gejm	𫖨
geju	𧋠
gejx	𧱟
gejy	𧲃
gekg	珈 𤭚
gekc	𨛛
gekm	𧲆
gekn	𮧃
gekp	𭹱
gelf	䀃
gele	𧱨
gelv	䝏
gemq	靓
gema	𣍅
gemf	𧱆
gemk	𧱁 𧲚
gemm	䝎 𧲑
gemw	𤫂
genc	豭 𧱢
gen	𭸶
gene	𧱎
genf	𬤽
genh	𮙣
genu	𧲉
geon	豟
geoe	𧱚
geoh	𧱿 𧲂
geok	𧱵
geou	𤉄
geov	𰶬
gepi	逐 䝋
ttr	②
geps	靛 𧱍
gepa	𧱡
gepc	瑷
gepd	𨓽
geph	𢄘 𤩥
gepm	䝍
gept	璦 𤪞 𭺆
gepu	𧱴
geqh	静 𫕸
geqm	瓒 瓚 𤫨
geqb	𠀡
geqc	靘 𧰴 𰀐
geqg	䴖
geqk	豞
geqn	珗 𤦤
geqo	鶄 𪁥 𱈭
geqy	𧰫
germ	瑶
gerb	䝈
gerc	𤫅 𧱒
gerh	豨 𢃻 𧱸
gern	靔
gero	靝 𧱲
gert	𧱭
gesy	豧
gesf	𧱹
gesg	𰶪
gesh	𧰩
gesp	𬩥
get	玏
geta	𧰭
getc	𧱕
getd	甤 𰶦
gete	𧲗
getf	𭹠
getg	𫕹 甤
geth	豵 𧱷 𧲌
getp	𰶮
geud	豴
geue	𧱱
geuf	䝑
geuh	𫕺
geui	𧲖
geuj	𧲅
geuq	𫕼
geuv	𧱙
gev	瓱
gevc	𧰱
gevg	𧱇 𰡾
gevk	𬥀
gevl	𧱥
gevn	䝓 𢡆
gevo	𤎓
gevw	𪙲
gevy	豤
gewc	豛
gewp	𧰻 𧰾 𩇙 𫐴
gewe	𧱬
gewh	𧲓
gewk	𧱺
gewm	𧱜
gewr	𧱩
geww	𫎆
gewy	𤧙 𨿬
gexy	𧰷
gexd	𤨊
gexn	𰶤
gext	𤦥
gexv	𧲕 𫲜
geyi	豖
geya	𢧈
geyc	𢽚 𧰵 𩳥
geye	𢒔 𧱧
geyj	剢 𬳝
geyn	豥 𢁁
geyr	𣂡 𧲀
geyt	𢽴
geyy	𧱦 𩇤
gfk	于 瓧
gfaj	𢍐
gfae	𤫦
gfag	𤥧
gfam	𤩳
gfay	𤪚
gfbh	邘 鄟
gfbg	𤥝
gfcy	珐 𬍒 𭸷
gfcb	𭹌
gfcr	𪮣
gfdl	亞
gfdf	𬪿 𭕃
gfdj	𫡷
gfdm	瓀 𩓩 𬱀
gfed	
gfeb	𥀈
gfec	𢻗
gfeh	𦦘
gfem	𩔓
gfen	𦑪
gfet	𠡕
gfev	𥪵
gfew	𦦕
gfff	堊
gff	𡊝
gffc	𬎌
gffg	珪
gffn	㻬
gfgy	甎 琧
gfg	𤣰
gfqf	𪻧
gfgf	𤨹
gfhh	玕
gfhw	瑱 𤪬 瑱
gfik	𭹮
gfjg	琽
gfj	𤬧
gfjf	𣇩
gfjh	剸 𠜲
gfjn	𭺀
gfjp	琎 𬩒
gfju	蝁
gfkd	𭺞
gfke	𪼄
gfkg	𤥐
gfkk	𭹶
gfkn	𠌑
gfkw	𤫩
gflf	盂 𤲢
gflc	𬐟
gfle	𭹹
gflk	𤩠 𤪘 𤫢
gflm	瓄
gfmh	𪻳 𫡵
gfmd	𤩽
gfmj	𡹅
hgnm	𡸭
gfmw	𡭇
gfnu	惡 𢞯 惡
gonu	𛀅 恶
gfnb	𠃗 𨟢
gfnc	𤫑
gfnd	𤡾
gfnf	璹
gfnn	𤤜
gfno	瓙 𪅴
gfny	𤥴
gfou	𤊗 𬉶
gfoy	𭹍
gfpk	迂 𪪬
gfpd	䢝
gfpg	𤩖
gfpi	𨖇
gfqn	玩 𰑨
gfqb	𤧡
gfqg	𰁘
gfqk	𤦿
gfqo	鵶 鷒 𩸇 𩸖
gfqt	𤦫
gfqv	𤦾
gfqw	㰳 𬅞
gfqy	𤤞
gfrh	𣂪
gfrc	𤮟
gfss	𪼬
gfsl	𣌃
gfty	㪀
gfu	專
gful	専
gfud	𪻨
gui	 𰡮 𭀝
gfuf	𬍬
gfuj	𮧶
gfup	㼀 𬎍
gfvg	𬎅
gfwy	玞 𨾌 𭺑
gfwa	𰁚
gfwj	𣉩
gfwk	𬎓
gfwm	瓉
gfxn	珯
gfxi	𦄯
gfyy	𪼗
gfyl	𤲾
gghg	五 𰡴
ggay	珷
ggah	𤣿 𪻠
ggaw	𭹥
ggbv	瓲
ggb	𠀘
ggbn	𤤀
ggcb	琶
ggcg	𤥇
ggci	𤧉
ggoj	瑨 𤨁
ggdu	𡗿
ggdy	𤤇
ggey	琢 𤥨 琢 𭹙
ggeb	𤦖
ggeg	𤦭
ggmh	𬎛 㺰 㺻
ggei	豗
ggep	𪼅
ggfh	玗
ggfg	𤦩
ggfi	𤮍
ggfl	𤩾
ggfy	瑼
ggg	玨
gggh	𰀁 
gggn	𤩙 𬎋
gggt	璱 
gqr	 𫠤
gghh	
gghl	
gghq	𭺕
gghy	𫡲
ggiy	球
ggiq	𨫣
ggiu	𤦗
ggjl	璢
ggjf	𤩟
ggjg	𪻘
gjjm	𭺔
ggkg	珸
ggk	
ggkf	𠵥
ggkl	𰢅
ggkm	𤮄
ggkr	𠦱
gglg	𪻡 𪼡
ggmy	𤦡
ggmf	𤥆
ggmp	𬎚
ggmq	𨪖
ggmw	𤤝
ggnt	瑟
ggna	𭌐
ggnf	𦑓
ggng	玙 𬍪
ggnh	𬻥
ggnj	𠟦
ggnn	㺮
ggns	𠀩
ggnu	𢛤 𢜈
ggnx	𭣑
ggny	璤
ggoc	𤥙
ggof	𣌽
ggox	𤫟
ggpa	𭹸
ggpe	𤨍
ggps	𭺒
ggqb	𰡷
ggqf	𨨖
ggqg	𭹚
ggqn	𤩊
ggqo	𭹷
ggqs	𤧮
ggry	𤣸
ggsg	𤧆
ggsh	𬍐
ggsj	𤩘
ggty	璈
gguf	玶
ggvf	𭒁
ggvh	𬍫
ggwn	琴
ggwc	𤧲
ggwp	𤧂
ggwe	𪻴
ggwh	𰢆
ggwi	𰢇 𰢌
ggwj	𤦠
ggwr	𤪙
ggws	𣗜
ggwt	𤨝
ggwu	珡
ggww	𤩍
ggwx	𤧰
ggxx	琵
ggxd	瑇
ggxi	𤨄
ggxy	瑇 𤤈
ggyy	珏
ggy	珁
ggyu	𪯥
ghi	下 𤴓
ghaw	琥 𤦣 𭹰
ghaf	㻯
ghag	𭹦
ghah	𤪻 𤪽
ghay	𰢉 𤩁
ghav	𤫗
nbay	𢧎 𢟘
nbd	 㞌 𡱡 
nbgg	𤳾 𢚇
ghbh	𨚣 𫧹
nbtn	𢦀 憨
nbwt	𣀋
ghby	𠀨
ghco	璨
ghcb	𤥸
ghcf	𪼑 𤥷
ghcs	𤨪
ghcy	㺳
gjda	𢀯
ghde	𠢾
ghdg	琲 𢀚 𤤃
ghdm	頙
ghdn	𤮑
ghey	璩
ghei	𭺥
ghep	𨕆
ghf	𥄪
ghff	𬻁
ghft	𪤶
ghgo	焉 𪼧
ghg	㺺
ghga	𢀰
ghgb	鄢 𭺃
ghge	靕
ghgh	𤨛 𰙤
nhgh	𣥒 卍 𤖁
ghgm	𧶷
ghgn	𠀀
ghgq	𣦥 𨪱
ghgt	𭺖
ghgv	𡡜
ghgy	𭆱
ghh	玮 𩰊
ghhd	𥈜
ghhf	𠀝
ghhh	𰢐
ghhm	𣦓 𩖀
ghnn	𭜳 𬺶 丏 𠀞 𠣣
ghhp	䢥 𢌫
ghht	㻉
ghhy	𰡶
ghic	琡 𪴹
ghih	𬆃
ghik	𣦎
ghjh	琸
ghjg	𠀥 𣅯
ghkg	玷 𤫣
ghkl	丅 ㄒ
ghkd	瓛
ghkf	𠮴
ghll	瓐
ghle	𦟆
ghlm	𬱐
ghls	𤩰 𰢕
ghmy	𤦹
ghmk	𤩋
ghnv	丐
ghnu	忑 𢘫
ghn	㺿
ghnb	乤 𨜃 𫑚 𰻢 𭭘
gnhg	𨳇 瑂
ghng	𢀑 𭹅
ghnh	𤥩
ghnj	𣅰
hgnn	𢛀 䀎 𭭿
ghno	𬉻
ghnt	 𰡵
ghny	𡯼
ghph	璿
ghpd	𢌛 𨒌
ghpg	𬆄
ghpi	𨑜
ghpk	𤩅 𤩡
ghpy	𣃟
ghqn	現
ghqb	𤧢
ghqh	𰁔
ghqj	𠝙
ghqo	鴊 𩿳
ghqv	𡠝
giv	𥘅
ghqy	𣥛 𫠰
ghri	𣥵
ghsh	𰙛
ghsj	𬻰
ghsq	𫤧
ghty	政
ghtl	尶 璼 𧖬
ghtp	𢾘
ghtu	𥪛 𭐠
ghuf	𥩠
ghug	𬔗
ghuj	𰙸
ghuw	𨱘
ghvf	𡛵
ghwj	颪 𠁚
ghwa	𭭣
ghwb	𠙁
ghwc	𣪅 𣪭
ghwe	𨱗
ghwh	𤪷
ghwi	𪼻
ghwk	𠁈 𬆈
ghwm	𫠳
ghwq	𭂳
ghwy	𤦚 𨾖
ghxn	玼 𤥛
ghxb	𠀢
ghxi	𬎏
ghy	㺪
ghyu	𭤖
ghyy	𫿮
ghyh	𫠦
ghyk	𱅸
giyi	求 𡰏
gias	璖
giaj	𪪵
giay	𫻲
giby	皳 𭹢
gibh	䣇
gico	𩣗
gick	𤦮
gidm	𩒮
gidn	𤩌
gidy	𭹈
giel	琑
gieg	𥘲 祖
gien	𣭳
gieq	𬇶
giet	𠡟 𠡾
gifc	琺
gife	𣯕
giff	𡌊
gifg	𡉹
gifs	𣗲
gign	珖
gigc	𢿷
gigq	䥭
gigr	𭱉
gigs	𤤾
gigy	𤥲
gih	𤥅
gihg	𪻻 𧇘
gjii	𰛕
giju	𧋛
gik	𠀦
gijg	𤦊
gijh	𥙍
gijj	𧒔
gijs	𥚌
gikl	璫 𪼲
gikf	𤨠
gikg	𤥮
gikh	瑺
gikm	𤪸
gikq	𥘱
gilf	盚
gile	𭱷
gilg	𭹗
gilo	𭹿
gilu	𨁛
gilw	𥛴
gimy	琐 瑣
gimh	𥙏
gimp	𨘑
ginu	𢚡
giou	𤈿
gipi	逑
giqg	𪉌 𣱊 𥛠
giqo	𪁖
girh	𣂘
gire	𢒴
gisy	𣐫 𥙳
gisf	𣒮
gity	救 𛀱
git	𤤉
gitg	𤨣
guth	𫝂
gitn	慦
giu	𣱳 𡭕
givg	珰 珱
givn	㐜
givy	𠂃
giwv	𩛰
giwc	𣪋
giwq	𨭻
giwy	𩁕
giye	裘 𣰐
giy	𬍖
giyy	𭹓
gjfg	理 𛃵 理
gjal	畱
gjaf	㻫 𡋲 𰢗
gjaj	𭄘
gjam	𧶝
gjan	𢥍 𪕢 
gjao	𪅳
gjap	𨖻
gjbc	𤩛
gjdw	𠔐
gjeg	𪻪 𤦛
gjf	曺 𣄼 𣅨
gjfc	𫩆
gjfd	瓼 𫭬 𭺪 𭺫
gjff	𤨅
gjfh	𤥚
gjft	𩰽
gjfw	𰀓
gjgf	亘 𬎎
gjgb	𮟷
gjge	𠡚 𪱟 𭄡
gjgg	𪼙
gjgh	瑅 𫠱
gjgj	刯
gytj	𭨞
gjgm	𡷆 𩒢
gjgn	𭜩
gjgp	𬨤
gjgv	𠨔
gjhg	瑁
gjh	㺫 𫦂
gjhf	𬅺
gjhh	珅
gvhi	𭻿 疌
gmfd	𤰔 再 再
gte	𬻍
gjhy	
gjil	虺 𭺟
gjig	𤨆
gjjg	琩 𠄵 𭹕
gjjf	𰀛
gjjj	𤩜
gjk	車 𠚯 車 ⾞
gjkk	𡂦
gjkn	𭞦
gjlg	瑥
gjlc	㻴
gjly	𭺄
gmjd	𮠕
gjmy	㻦
gjnb	𠄲
gojf	晉 晋 𤪮
gjpk	𬨼
gjpd	𮞸
gjqr	㻛 𭕏
gjqk	𪼚
gjqn	𭹨
gjri	更 更
gjra	𣍏
gjrb	郠
gjrc	𣍇 𫨨
gjre	𠡣
gjrj	㪽
gjrl	㬲 𣍛
gjrn	𦑃
gjrp	䢚
gjrt	甦 瑒 𪯍
gjrv	𣍙
gjrw	𪏬
gjry	㻀
gjsl	瓓
gjsj	𬻐
gjsy	𬍯
gjtg	瑆
gjtl	𫞨
gju	𧉉
gjug	𬍶
gjwf	𰀔
god	𠀜 亚
gjwb	𭂾
gjxx	琨
gjxf	𤨱
gjxt	𤤺
gjxy	𢦣 𤥟
gjyy	琝 𭹺
gkvh	事 𛁆 𠄙
gkam	𩰬
gkbh	郚
gkbj	𠚃
gkdm	𩒾
gkdf	𫬮
gkeg	琄
gken	𪕡
gkf	吾 𠮛 
gkfc	𢻊
gkfh	𢆖
gkgg	珵 𤩩
gkgd	㻍
gkig	𠁱
gkgh	𰢖
gkgi	𣒚
gkgk	𢌽
gkgq	𤩭
gkgy	𤭑
gkhe	囊 嚢 𧚐 𧞢 𪫈
gkhl	玔
gkhc	叓
gkhd	𡚀 𬰜
gkhf	𠁕 𣥔
gkhh	𡈋 𢄿 𭧢
gkhg	𬻧 𬻫
gkhi	𬺿 𮁸
gkhj	蠹 蟗 𧋌 𧏋 𧕰 𧖚 𮕛
gkhm	䝴 𫠾
gkhn	𢘑
gkho	𤈂
gkhp	
gkhs	橐 櫜 㯱 㯻 㰆 𣘯 𣚇 𣝐 𣞈 𣟏 𣠀 𣠔 𣡏 𣡖 𣡦 𣡪 
gkht	𣞉
gkhu	栆
gkjg	亜
gkj	𫖌
sghg	覀 ⻃ 柾 𰼃
gkja	𢨖 𣱌
gkjf	𡏍
gkjh	𭿃
gkjk	𫝁 𬻇
gkjm	𩕫
gkjo	𥺠
gkjs	𣓝 𭬟
gkkk	噩 𡅡
gkk	卅
gkkb	𨝶 𬪠
gkkd	𬻠
gkkf	𤪛 𪡅
gkkj	𣈆
gkkl	𤲇
gkkm	䫷 𬴳
gkkn	𡂧 𮦁
gkkp	𮞷
gkks	璪
gkkt	𤫠
gkkv	𡝽
gkkw	𣤲
gklp	逼
gklb	䣓
gklc	𢾇
gklf	畐 𡈧
gklg	𫪸
gklh	𤩧
gklj	副 䰝 𰣕 𰣝
gklk	𭻢
gkll	㽬 疈 𠠦 𫤊
gkln	𦑭
gklo	鶝
gklq	𱊏
gkls	𭻧
gkmj	融 鬲 𠀷 𧖓 𫋊 ⿀ 𭃴
gkma	𩰭 𩰰 𩰹
gkmb	𨜥
gkmc	䰙 𢾿 𩰼 𬴲 𬴵
gkmd	𩰯 𩱄
gkme	𩱘 𩱝 𫙅 𬴶
gkmf	𩰮 𩰳 𠁐 𩱂
gkmg	䰛 𩰵
gkmh	𩰫 𫙄 𰀌 𰙴 𬴛 𭘣
gkmk	鞷 𠻸 𩍻 𩱐 𬴴 𭺂
gkml	鬸
gkmm	𦓠 𩰴 𩱇 𱂚
gkmn	翮 𩰶
gkmo	鷊 𩱊 𪈊 𱆏
gkmp	𩱃
gkmq	鹝 𩱈 𩰷
gkmr	鬺 𱆌
gkms	鬴
gkmt	鬷 𩰺 𩱛
gkmu	𩱉
gkmv	𩰸 𱆍
gkmy	䰚 璝 𩰻 𪨇 𪻺 𬍽
gknb	㐚
gknf	𭗻
gknu	𭜓
gknv	𬺾
gkpd	逜 𮞄
gkpf	𠁏
gkpg	𭈰
gkpn	𭄧
gkqo	𪁙
gkqq	𠓆
gkqw	𣣄
gkri	吏 吏
gkrk	𠲀
gkrt	𫾫
gkrw	𫣚
gkry	𤤭
gksy	𤥯
gkty	敔
gktf	𠵦
gktp	䢩 𨖍
gkv	ㆭ
gkve	𠡯 𠡸
gkvj	剚
gkvn	𪜃
gkvs	𠄜
gkvt	𠛽
glqd	西 ⻄
glag	豇 𧯱 𪼓 𰀖
glae	鿲
glaj	䜺
glay	𢦫 𰒪
glbj	画 𧟻
gljg	𤰱
glbh	郖
gmfb	画 𮟸
glby	䜵
gldm	頭
gld	𭕎
gldg	珚 𧯵
gldi	𧰉
gldk	𥔏
gldn	𤨒 𤪄
gldq	𮙓
gldw	𧯯
gldy	𭺍
glen	毭
gleh	𬤸
glei	𭕑
gley	𤧖
glf	豆 ⾖ 𰢴 𭍥
glfb	𰶠
glfc	豉
glfe	𤪹
glff	𪼢
glfg	𤪯
glfj	𤥪
glfm	𡻧
glfs	𰶞
glfy	𭔰
glge	環 𤨔
glg	𤤦 𤰓
glga	𧯬
glgd	
glgf	𧰁
glgg	畺
glgl	𰶡
glgo	𪇏 𰶙 𭻨
glgp	𤫐
glh	玾 𰡰
glhc	䜴
glhe	𤫛
glhq	𧡀
gliu	𠀯
gljh	剅 䜻
gljf	𧰆
gljn	𧰂
gljo	䝃
glk	卌 
glkb	𰻴
glke	𬎜
glkf	𭍠
glkg	㻁
glkh	𩙼
glkw	𰙖
glkx	𰇿
gllg	瓃
glli	𤫤
gllm	𤫥
gllv	𧰃
glly	𧯩
glnb	㐙 䜳 𰶗
glne	䜸
glng	𤤨
glnu	𢙂
gloe	𧰎
glog	𭻩
gloo	𭻴
glpd	逗
glpb	豌
glpq	𰶜
glps	𧰗 𫎄
glpy	琏
glqe	𧯰
glqj	㻿
glqk	𧯠 𡃠
glql	䝀
glqo	𪁞
glqq	𧯨
glqt	𭹭
glqw	㰯
glqy	𭹜
glrf	豍
glrh	𧯞
glrk	𧰏
glsg	𤥳
glsk	䜹
glsn	𰶢
glsw	𧯲
gltk	璐 𤮗
glta	𧯝
gltd	𮙔
gltf	𧯤
gltg	㻒
glth	䜶
glty	𰃛
gluv	豏
glu	𧾸
gluf	㪷
gluj	䜾 𧐵
glut	𧯪
glvg	㻲
glvc	䜷
glwj	琾
glwc	𮙒 䝄 𣪌 𧰤
glwd	㐁 𬞿
glwe	䜽
glwf	𡭋
glwh	𣦂
glwl	𧰐
glwn	𤩃
gmww	𠀬 两 𰀒 𰀕
glwx	𬆹
glwy	𰴭
glxy	㼈
glxf	𬤷
glxi	𤨴
gly	珿
glyi	𤪁
gmqn	现
gmap	遭
gmab	𨝍
gmad	
gmae	𰅕
gmaf	𡬭
gmag	𨠷
gmai	𡮦
gmaj	曹 𣊛 𣍖 𧕐
gmal	𰢓
gmat	𪯓
gmaw	琠
gmbk	襾 ⾑
gmb	𰀃
gmba	𧟤 𧟨
gmbb	𧠄
gmbc	𧟱 𤩚
gmbe	𧟩 𧟳
gmbf	𡊹 𧟹 𧟼 𧟿
gmbg	𧟠
gmbh	𧟲
gmbj	𮗋
gmbq	𧟴
gmbt	𧠂 𧠃
sttt	覆 覆 𪍆
gmbw	𧟣
gmbx	𧟽
gmby	𧟧 𭽴
gmcc	𤩮
gmdm	瑞 𩔳 𫖴
gmdk	𬍰
gmdl	𤮃
gmdy	𤤠
gmet	勣 𪟝
gmed	𡰅
gmfc	𭁥
gmff	𠕂 𠕅
gmfg	珃 𤣽 𤤧
gmfj	㓰
gmfk	琱
gmfl	𠕱
gmfy	𬻔 𭹝
gmgm	𠀙
gmgg	丽 𨌥
gmgk	𪻛 𤭆
gmgo	𤪧
gmhy	兩 兩 𠀽 𢂤
gmh	𤥭 𬍑
gmhb	𨙶
gmhc	𢂛 𢺷 𢻵 𩀝 𩳮 𱁮
gmhd	𤜲
gmhe	𣬪 𧘴 𧛦 𰚞
gmhh	𢂏 𬅹
gmhj	𠚷
gmhk	帀 巿 ㄭ 𢂷
tmhl	𰏛 秈 𥶋
gmhm	𧶪
gmhn	𦑅 𪬿 𬰗
gmho	鳾 𤆱
gmhp	迊 䢌 𨒘 𱁭
gmht	𢼆 𪩲 
gmhw	𠆴 𫜘 𮦆
ymhw	𬽖
gmii	雨 ⾬ 𮦄
smhr	𣙡
gmj	𡸸
gmjc	𧟺 𧠅
gmjm	𧟾
gmjv	𫰗
gmjx	𤨾
gmkg	㺾 𤧗
gmkc	𤪢
gmkm	𤨈
gmlg	𤧸
gmlw	𤩑
gmmg	珊
gmmk	両
gmmm	𤫡 𦉦
gmms	𣑨
gmmv	璎 瓔 𪼿
gmng	𠄢 𠄢
gmnc	𤥜
gmoy	𰢂
gmpy	璉 璉 𬍻
gmpi	𤨲 𨖊
gmqk	𠱩 𪻣
gmqo	𪄸
gmqt	𤨉
gmqv	𠀑
gmqw	𣤈
gmrc	𤩫
gmty	𥡯
gmtd	𪼇
gmte	㔝
gmtk	𭹧
gmtn	𠀸
gmu	责 責
gmug	𤤡
gmuj	𬎗
gmum	𤦇
gmun	𪻫
gmvf	𡛎
gmvg	𤤢
gmwb	邴 𠚇 𨜦 𨟫
gmwc	㪅
gmwd	𩇽 𪥇 𬍈
gmwe	𫦩 𬍮
gmwf	𡭃
gmwh	𰙠
gmwi	丙 𡗚
gmwj	𠛥
gmwk	瓗
gmwm	㼇
gmwn	琌 𫠥
gmwo	㶮 𪈹 𰞁 𮭹
gmwq	𧢮
gmws	𭫒
gmwt	𤯳 𰕏 𭤓
