aaa	工
fupy	幸福 塝 䨦
fuqc	增色
fuqe	壛
fuqh	境外
fuqk	幸免 丧钟
fuqm	喜闻乐见
fuqq	增多
fuqt	老头儿
fuqw	䨏
fura	远交近攻
fure	增援
furf	增持
furg	增兵
furk	增损
furn	丧气
furo	城门失火
furq	城门失火，殃及池鱼
furr	增白
furw	丧失
fusf	培植 墫 壿
fusk	增速
fusv	培根
futa	增长 干净利落
futg	丧生 增生 增重
futj	幸得
fuud	增减
fuuk	境况 墡
fuuq	增资
fuur	增效
fuut	增产
fuuu	无关痛痒
fuuw	增益
fuuy	培养
fuvf	霎
fuvb	幸好
fuwb	增创
fuwf	增值 幸会
fuwh	零部件
fuwj	丧偶
fuwk	丧命
fuwl	塧
fuwn	丧假
fuwo	霠
fuwp	䨧
fuwr	丧父
fuxk	增强
fuxn	丧母
fuxy	博闻强识 博闻强记
fuyc	培育
fuyk	培训
fuym	增设 增高 增调
fuyq	南北方
fuys	增订
fuyu	赱
fvf	雪
fvy	垠
fvad	雪藏
fvae	雪茄 老奸巨猾 雪菜
fvai	老奸巨滑
fval	雪莲
fvaw	雪花
fvbh	雪耻
fvdr	雪原
fvef	雪肤
fveq	雪豹
fver	雪狐
fvev	雪貂
fvey	雪狼
fvfa	雪域
fvfb	雪地
fvfi	喜怒无常
fvfs	真刀真枪
fvfw	未婚夫 雪堆
fvgc	进退两难
fvgd	雪天
fvgf	雪球
fvgh	垏
fvgr	雪碧
fvgv	未婚妻
fvhl	壗
fvhw	㙌
fviy	埭
fvii	雪水
fvin	雪泥
fviq	声如洪钟
fvja	雪暴
fvjy	雪景
fvkh	雪中
fvlg	雪车
fvme	雪崩
fvmf	雪雕
fvmm	雪山
fvmt	雪峰
fvnv	雪恨
fvou	雪糕
fvph	埽
fvpc	埐
fvpo	雪灾
fvpq	雪冤
fvqn	雪饼
fvrr	雪白 进退失据
fvsa	雪柜
fvse	雪橇
fvsf	雪飘
fvsw	雪松
fvth	雪片
fvtj	雪梨
fvtr	堖
fvvb	老奶奶
fvwd	雪仗
fvww	雪人
fvxg	雪线
fvxw	进退维谷
fvxy	雪纺
fvye	雪衣
fvyn	雪盲
fvyp	雪亮
fvyq	喜怒哀乐
fvyw	雪夜
fvyy	封建主义
fwi	夫
fwpu	零 替补
fwaa	零工
fwae	零散
fwai	规范 零落
fwaj	规划
fwal	二人世界
fwau	真伪莫辨
fwaw	零花
fway	㘺
fwbb	夫子 老爷子
fwbf	零陵
fwbh	邞
fwcc	堆叠
fwce	规劝
fwcn	塕
fwcu	真假难辨
fwda	堆砌 无伤大雅
fwdc	塅
fwdf	去伪存真
fwdy	零碎 垘
fwec	堆肥
fweh	零用
fwej	堬
fwfj	替 暬
fwfb	鄻 鄼 䣠
fwfc	㙯
fwfe	无依无靠 勎 勢
fwff	坴
fwfg	真人真事
fwfh	堆起 无休无止
fwfl	辇 輦
fwfm	䞇 賛
fwfo	熱 燅 驇 鵱
fwfp	逵
fwfr	摰
fwfs	槷
fwfu	十全十美
fwfw	霍霍 才华超众 㚘
fwfy	坿 埶
fwgb	喜从天降
fwgf	城会玩
fwgh	零下
fwgr	无从下手
fwgs	吉人天相
fwgt	求全责备
fwgu	墱 霯
fwgv	夫妻
fwgy	替班
fwhh	无休止 鬹
fwhk	零点
fwhm	规制
fwho	䨹
fwhq	規
fwhs	槼
fwhv	嫢
fwia	堆满
fwin	求人不如求己
fwip	起伏不定
fwis	真人不露相
fwit	零活
fwjf	零时
fwjh	圿
fwjj	颠倒是非
fwjt	零星
fwkf	䨐
fwkg	垥
fwkh	零嘴
fwkl	墖
fwks	堢
fwlf	二人转
fwlg	老爷车
fwli	十八罗汉
fwlp	起伏跌宕
fwlr	颠倒黑白
fwmq	规
fwma	埨
fwmh	鬶
fwmj	规则
fwms	椝
fwnd	堠
fwne	十八层地狱
fwnh	零蛋
fwnk	规避
fwnr	动人心魄
fwnx	动人心弦
fwon	埝 坅
fwoa	零度
fwoj	堆焊
fwoy	㙸
fwpg	规定 老人家
fwpl	救命之恩
fwpo	䴇
fwpp	无价之宝
fwpq	趁人之危
fwpr	真凭实据
fwpt	零售额
fwpy	坽
fwqg	零钱
fwqn	朝令夕改
fwqo	鳺
fwqq	霍金
fwqt	老伴儿
fwrj	零担
fwrq	替换
fwrs	封侯拜相
fwru	封侯拜将
fwsa	规模
fwsc	夫权
fwsg	堆栈
fwsi	才华横溢
fwsk	规整
fwst	规格
fwta	十八般武艺
fwtc	干什么
fwtd	规矩 霍乱 零乱
fwtf	霍华德
fwth	动作片
fwtk	堆积 规程
fwtm	替身
fwtp	老僧入定
fwts	吉人自有天相
fwtt	堆笑
fwtu	增值税 夌
fwtv	规律
fwtw	求仁得仁
fwud	零头
fwuh	堆着
fwui	无人问津
fwuj	规章
fwum	零售商
fwvn	夫婿
fwvr	雰
fwvt	夫君 十拿九稳 坋
fwvv	夫妇
fwwm	赍 賫
fwwa	替代
fwwc	老公公
fwwe	䘮
fwwh	零件
fwwk	嗇
fwwo	越俎代庖
fwwr	老爷爷 墙倒众人推
fwwu	零位
fwwv	零分
fwww	夫人 㱇
fwwy	零售 零食
fwxc	墢
fwxf	鼀
fwxj	规费
fwxq	规约
fwyg	堆 䧲
fwyf	霍
fwya	规诫
fwyc	䨥
fwyo	靍 鸖
fwys	㙫
fwyt	堆放
fwyw	进化论 㱋
fwyy	靃
fxet	坳
fxy	坶
fxcu	䨎
fxdc	二维码
fxde	㙣
fxdg	封疆大吏
fxdx	韦编三绝
fxeq	干细胞
fxey	堟
fxfd	无缘无故
fxgr	老弱残兵
fxhw	塡
fxit	动弹不得
fxjh	坲
fxjn	无线电
fxkm	教练员
fxmr	无线网
fxnn	㘭
fxqq	违约金
fxug	老弱病残
fxwx	无纸化
fxxf	㙄
fxxn	㘩
fxxr	堦
fxxw	㙨
fxxx	霛
fyt	坊
fymn	坑
fyaj	坟墓
fyap	坟茔
fybt	墩
fybb	墎 霩
fybg	埻
fycc	无言以对
fyce	堉
fycy	坑骗
fydd	支离破碎
fydm	墩布
fydr	零敲碎打
fyev	二郎腿
fyf	霅
fyfb	坟地
fyff	壤土
fyfj	寸进
fyfn	坟场
fyft	献计献策
fyfw	才识过人
fyfy	寸寸
fyhq	填充物
fyif	坑洼
fyiq	壕沟
fyit	老谋深算
fyiw	博施济众
fyix	土豪劣绅
fyiy	直言不讳 二话没说 二话不说
fyjj	霁
fyjf	霽
fyjn	霭 靄
fyke	壤
fyld	救亡图存
fyle	壞
fylg	壇
fylt	壈
fymf	㙵
fymh	戴高帽
fymk	塙
fynw	垓
fyon	寸断
fyox	塆
fype	壕
fypd	坑害
fypg	教育家 坟冢
fypn	地方官
fypp	无妄之灾
fypy	地主之谊
fyqi	戴高乐
fyqk	无记名
fyqn	坟包
fyrb	垴
fyr	雱
fyrs	坑杀
fysg	超文本
fysm	坦诚相见
fysy	无话可说 无计可施
fytg	走读生
fytx	老调重弹
fyu	雯
fyud	坟头 寸头
fyuj	坊间
fyut	坑道
fyve	㙟
fyvw	无论如何
fyvy	埌
fywf	埣
fywr	坑爹
fywu	才高八斗
fyww	坑人
fyxx	壪
fyxy	㙲
fyy	坟
fyym	坊市
ggl	一
gghg	五
gmfd	再
goi	来 灭
gak	开
gajf	型
gaaa	形式 开工
gaae	武功
gaah	弄臣
gaaj	开幕
gaan	武艺
gaap	开荤
gaaq	武警 刑警
gaaw	开花
gaax	开药
gaay	开荒 琖
gabh	邢
gabk	武职
gabm	开出 弄出
gabw	开除
gabx	与世隔绝
gaca	开戏
gace	开通
gack	邢台 开台
gacy	开叉
gadc	形码
gadd	武大
gadg	武威
gadh	弄破
gadn	形成
gado	开矿
gadr	弄巧成拙
gadw	刑期 开春
gadx	五花大绑
gady	形态
gaet	形
gaef	天若有情天亦老
gaei	开膛
gaen	武力
gaeo	弄脏
gaep	开腔
gaeq	开胸
gaer	形貌
gaes	开采
gaeu	开脱
gaew	开办
gafc	开支 开动
gafd	弐 㦱
gaff	开封 开坛 天荒地老
gafg	武士 弄坏 玵
gafh	开赴
gafi	开示
gafj	开进
gafl	瓂
gafn	开场 刑场
gafq	与世无争
gafw	武夫
gag	玒
gagc	弄到
gagf	开球 璍
gagk	刑事
gagn	弄瓦
gago	开来
gagq	开裂 弄死
gags	一草一木
gagu	开平
gagw	一式两份
gagx	武夷
gagy	开班 㼛
gahd	武
gahb	琊
gahg	鹉
gahh	㺿
gahi	开步
gahk	开战
gahl	璼
gahm	形制 虣 䝾
gahn	开颅
gaho	鵡
gahq	䙹
gaht	玡
gahv	开眼
gahw	开具 刑具
gai	戋
gaia	玩世不恭 开满 万世流芳
gaic	武汉
gaid	开源
gaif	刑法 弄潮 一卧不起
gaig	弄清
gaii	开水
gaij	下落不明
gain	开涮
gaip	开学 弄堂
gaiq	开光 开溜
gair	青黄不接
gais	开河
gaiv	武当
gaiy	开滦
gaj	弄
gajh	刑 刬
gaje	开明
gajg	武师 开题
gajj	武昌
gajm	开映
gajy	形影
gakg	瑾 型号 琙
gakk	武器 开口
gakt	开吃
gakw	弄啥
gaky	瓘
galf	盏 开团 㿼
gald	开恩
gale	开胃 型男
galg	开车 开国
galj	开罪
galk	弄回
galo	䵤
galq	开罗
galt	开路
galy	刑罚
gamd	瑛
game	形骸
gamg	形同
gamm	开山
gams	残花败柳
gamw	璜
gamy	璊 貮
gana	开展
ganf	开导
gang	开怀 䍾
gank	开辟
gann	开局 玴
gans	㻡
gant	开发
ganu	开屏
ganw	刑戮
gany	开心
gaoa	开席
gaog	开业
gaoh	开店
gaol	武库
gaon	武断
gaoo	开火
gaoq	开炮
gaos	开灯
gaot	开庭
gaou	开凿 烎
gaow	两世为人
gapa	开赛
gapk	䢎
gapn	武官
gapu	开衫
gapw	形容 开窍
gapy	形神
gaqa	弄错
gaqc	形色
gaqe	开解
gaqg	开印
gaqh	开外
gaqi	开销
gaqj	㻸
gaqk	形象 开锅 㻤
gaqm	型钢
gaqn	开饭
gaqo	鳽
gaqt	璥
gaqu	开镜
gaqw	㰢
gard	开拓
garf	武技
garg	武后
garh	弄掉
garn	开掘
garp	开挖
garq	弄鬼
garr	开拍
gars	武打
gart	开播
garv	形势
gasc	弄权
gasf	开票 开标 型材
gasg	开本
gash	形相
gasm	开机
gasp	开棺
gasr	天花板
gass	武林
gasw	开枪 武松
gasy	武术
gatb	天花乱坠 璓
gatd	一落千丈
gate	开盘
gatf	弄丢
gatg	武生
gath	正式版
gatj	弄得 㻳
gatl	武备
gatm	万花筒
gato	开释
gats	开箱
gatt	与世长辞
gatv	刑律
gatw	豆蔻年华
gaty	开往
gaua	开瓶
gaud	形状 开头 开关 开卷
gauf	武装
gaui	开阔
gauj	形音
gauk	刑部
gaul	开闸
gaum	开端
gaup	形旁
gauq	开奖 青花瓷 武将
gaut	开道
gauu	开立
gauy	开门
gavb	弄好
gavc	开始
gavf	开垦
gavk	形如
gavn	开刀
gavy	开刃
gawy	珙 雃
gawb	开创
gawc	瓁
gawf	开会
gawg	武侠
gawh	刑侦
gawn	形似
gawo	开伙
gawq	形像
gaws	形体 瑹
gawu	五花八门
gaww	开价
gawx	开化
gaxa	开练
gaxg	开线
gaxj	开花结果
gaxt	开张
gaxy	武统
gayd	开斋
gayf	开讲
gayj	开课
gaym	开设 开市
gayn	开启 开户 开房 刑讯
gayo	形迹
gayq	开方 一劳永逸
gayt	开放
gayv	开朗
gbnm	顿 頓
gbnv	屯
gbbb	一阵子
gbbh	瑘
gbbl	一阵阵
gbct	严阵以待
gbcy	㻓
gbdb	一了百了
gbdg	顿感
gbdp	瓍
gbel	事出有因 王子犯法，庶民同罪
gbg	珥 㺭
gbga	青出于蓝而胜于蓝 青出于蓝
gbgm	顿现
gbgp	严防死守
gbii	顿消
gbil	再也不
gbip	顿觉
gbiq	殃及池鱼
gbjf	顿时
gbkg	顿号
gblh	顿足
gbll	屯田
gbmr	互联网
gbnb	邨
gbng	顿悟
gbnj	旾
gbnp	迍
gbnw	珠联璧合
gbny	㼊
gboy	屯粮
gbpl	屯军
gbpm	一孔之见
gbpn	迈阿密
gbqd	顿然
gbqu	政出多门
gbrg	屯兵
gbrn	屯扎
gbrw	顿挫
gbsd	五子棋
gbtg	顿生
gbtk	屯积
gbut	顿首
gbvf	屯垦
gbwb	王孙公子
gbwd	天随人愿
gcfj	到 㬜 䶍
gcft	致 臻
gcab	万圣节
gcah	玛雅 㺹
gcai	玛莎
gcaq	致敬
gcbi	致函
gcbn	到了
gcby	斑驳陆离
gcca	戩
gccf	一对对
gccj	晉
gccl	致以
gcde	万马奔腾
gcdg	下马威
gcdp	到达
gcdw	到期
gcdy	静观其变
gcef	互通有无
gceg	㻆
gcek	致贺
gcen	致力
gcep	至爱
gcet	致胜
gcff	至 臸
gcfb	郅 臶
gcfk	臵
gcfn	到场 臹
gcfo	鵄
gcfp	到过
gcfq	致远
gcfy	䑒
gcg	玛
gcgc	臻至
gcgf	至于
gcgg	一对一
gcgj	至理
gcgk	一马平川
gcgm	玛丽
gcgo	到来
gcgq	致死 致残 到死 至死
gcgv	玛瑙
gchh	至上
gchk	到点
gchx	至此 到此
gcia	死马当活马医
gcie	一马当先
gcit	至少
gcjf	到时
gcjk	璚
gcjn	致电
gcjs	瑈
gckg	珆
gckn	到哪
gcmd	到岸
gcmm	五台山
gcmt	到账
gcng	至情
gcoq	到底
gcot	到庭
gcoy	瑪
gcpg	致富 到家
gcpn	致密
gcpy	致礼
gcqn	玧
gcqq	至多
gcra	下马看花
gcrt	到手
gcsb	至极
gcsd	到顶
gcsu	到校
gctd	致辞
gcth	到处
gctn	严以律己
gctp	天马行空
gctw	严以律己，宽以待人
gcu	丟
gcud	到头
gcug	致病
gcuh	到站
gcuj	致意
gcuk	致癌
gcur	至交
gcus	至尊 至亲
gcuu	至善
gcuv	致歉
gcwf	到会 到付
gcwg	致使
gcwk	致命
gcwn	五马分尸
gcwo	至今
gcwt	到任 㻐
gcwu	到位
gcwx	到货
gcxg	斑马线
gcxk	至强
gcxp	一以贯之
gcy	㺨
gcyd	至诚
gcye	致哀
gcyj	到齐 瑵
gcyk	万马齐喑
gcym	至高
gcyn	致词
gcyt	致谢 珞巴族
gcyy	到访
gdi	天
gdae	㻟
gdag	天葬
gdaj	蚕茧
gdar	亚太区
gdat	天蓬
gdaw	天花
gdbb	天子
gdbe	天阴
gdbf	天际
gdbk	天职
gdbn	吞了
gdbt	天降
gdbw	天险
gdcc	蚕桑
gdck	天台
gdcn	天马
gdct	天骄
gddd	天大
gddg	再而三
gddm	一页页
gddn	天成
gddo	五大三粗
gddv	两面三刀
gddw	青春期
gddx	天龙
gdeg	瑚 珛
gdea	天猫 青面獠牙
gdeb	吞服
gdep	天边
gdeq	天狗
gdet	瓇
gdey	天狼
gdfb	天地 郉
gdfc	天劫
gdfe	来龙去脉 亘古未有
gdff	天坛
gdfg	天干 素面朝天
gdfh	天真 幵
gdfj	天朝
gdfl	天雷
gdfn	吞声
gdfq	天元 一石二鸟
gdfs	栞
gdft	天才
gdfw	一大堆
gdfx	万寿无疆
gdgd	天天 一而再、再而三 一而再再而三
gdgg	天王 珬
gdgh	天下
gdgj	天理 蝅 蠺
gdgk	蚕豆 瑊
gdgm	一而再
gdgo	吞灭
gdgu	天平
gdhb	珔
gdhh	天上 画龙点睛 玤
gdhi	形而上学
gdhk	吞占
gdhv	天眼 㻰
gdib	天池 来而不往非礼也
gdid	天涯
gdig	一碗水端平
gdih	天波
gdii	天水 一石激起千层浪
gdij	正大光明 来历不明
gdim	吞没
gdip	天堂
gdiq	天光
gdir	两面派
gdis	天河
gdit	天渊
gdiu	沗
gdiv	天津
gdiy	一成不变
gdju	蚕
gdjc	蚕蛹 㪪
gdjd	䨿
gdje	天明 奣
gdjf	天时 昋
gdjg	天晴 䪞
gdjh	一大早
gdjj	天蝎 䗞 䘉
gdjt	蚕蛾
gdkf	吞 吞吐
gdka	天呀
gdkb	天啊
gdkl	吞咽
gdkt	吞噬
gdlf	天黑
gdlg	天国 天罡
gdlh	天足
gdlo	䵡
gdlr	天堑
gdlt	平面图
gdlw	天界
gdmy	顼 頊
gdmd	亚历山大 瑌
gdmg	天赋
gdmj	天赐
gdmm	天山
gdmr	麦克风 天网
gdmw	天内
gdnu	忝 㤁
gdnd	一厢情愿
gdnh	蚕眉
gdnl	天翼
gdnn	天书 珹
gdnt	天性
gdoo	天火
gdoq	天底
gdos	天麻
gdot	天庭
gdov	天数
gdow	天府
gdpa	天寒
gdpg	天宇
gdph	天牢
gdpi	迗
gdpk	天宫
gdpo	天灾
gdpu	一面之交
gdpw	天空 天窗
gdpx	一面之缘
gdpy	天神 一面之词
gdqc	天色
gdqd	天然
gdqe	珠三角
gdqh	天外
gdqk	天象
gdqo	鴌
gdqu	球面镜
gdqv	天煞
gdrc	一大把
gdre	天授
gdrg	天皇
gdrh	吞掉
gdrn	天气 死而后已
gdrv	天热
gdrx	一大批
gdsk	琦
gdsb	天极
gdsd	天顶
gdsm	天机
gdst	天桥
gdsu	天梯
gdtd	天敌
gdtf	天竺
gdtg	天生 万古长青
gdth	瓑
gdti	青春年少
gdtk	天和
gdtl	天年
gdto	死灰复燃
gdtr	天鹅
gdts	天籁 天条
gdtt	死而复生
gdu	㺯
gdua	吞并
gdui	璙
gduj	天意
gduk	天问
gdup	天帝
gduq	天资
gdus	天尊
gdut	天道
gduw	天冷
gduy	天门
gdvv	天女
gdwy	琪 蚕食 吞食
gdwc	天公
gdwf	璂
gdwg	天使 琫
gdwj	瑃
gdwk	天命
gdwm	天仙
gdwn	㻣
gdwo	事在人为
gdws	天体 玉石俱焚
gdwt	瑧
gdwv	天分
gdww	天价 天伦
gdxy	珑
gdxg	天线
gdxx	蚕丝
gdy	㺴
gdyf	万丈高楼平地起
gdyg	天主
gdyk	天谴
gdym	天高
gdyn	天启
gdyp	天亮
gdyu	表面文章
gdyv	天良
gdyy	天文
geu	表
gef	青
geac	青苔 䨼
gead	青藏
geae	青菜 表功
geag	与有荣焉
geah	静卧
geaj	青草
geal	青莲
geam	青黄
geaq	青葱
gear	与狼共舞
geau	环肥燕瘦
geay	青蒿 䝔
gebb	一肚子 䝕
gebe	䝐
gebg	琈
gebh	郬
gebi	䝒
gebm	逐出
gebu	青联
gecc	䝌
geck	瑶台
gecm	静观
gecn	豝
gecx	一脸通红
gede	开膛破肚
gedf	更有甚者
gedi	豲
gedk	青石
gedl	表面
gedo	青灰
gedp	表达
gedt	青帮
gedw	青春
gedx	青龙
gedy	表态 静态
geed	豯
geee	逐月 珕
geeg	瑫 豠 㻚
geeh	靜
geel	表舅
geeq	一股脑儿
geev	恶狠狠
geey	静脉
gefb	天悬地隔
gefc	青云
geff	表土
gefg	䝅
gefi	表示
gefj	豬
gefl	表露
gefm	豮 豶
gefn	静场
gefp	表壳
gefs	青霜 櫫
gefu	豷
gefy	天造地设
geg	玥
gegc	瑗
gega	表形 豜
gegd	青天
gege	静静 豩
gegf	致力于 豣
gegg	逐一 珇
gegh	䝊
gegk	表带
gegm	表现
gegn	豘
gego	燹
gegp	瑷珲
gegr	恶有恶报
gegt	更胜一筹
gegw	璵
gegy	五彩斑斓
gehc	表皮
gehg	青睐
gehh	静止
gehi	逐步 表叔
gehk	逐点
gehq	静物 靚
gehv	青眼
gehx	青紫
gei	豕
geib	瑶池
geii	静水
geil	逐渐
geip	表演
geiq	靗
geir	一毛不拔
geis	青浦
geit	青海
geiv	青涩
geiy	逐浪
geje	表明
gejf	青蛙 表里
gejj	逐日 蟸
gejl	豱
gejn	静电
gejp	青蛇
gejs	青果
gejv	靓照
gekg	珈 靓号
gekq	表兄
gekr	静听 青史
gelf	静默 䀃
gelm	青轴
geln	静思
gelt	靓图
gelv	䝏
gemq	靓
gemc	豛
gemd	亚力山大
gemj	䝎
gemm	青山
gemt	青峰
gemw	表内
genc	豭
genf	表层
geng	表情
geny	青翠
geol	青烟
geon	残肢断臂
geos	青灯
geou	下脚料
geox	逐鹿
gepi	逐 䝋
gepb	逐字 表字
gepc	瑷
gepg	青冢
geph	靛 静寂
gepl	再造之恩 䝍
gept	逐客 璦
gepu	青衫
gepv	静安
geqh	静
geqc	青色 靘
geqf	表针
geqg	䴖
geqk	表象 豞
geql	表链
geqm	瓒 青铜 青岛 瓚
geqn	珗
geqo	鶄
geqt	青锋
germ	瑶
gerb	䝈
gerh	豨
gern	表扬 靔
gero	靝
gerr	表白
gerv	两肋插刀
gesb	一脉相承
gesh	青椒 表相
gesk	表哥
geso	青楼
gest	表格
gesw	青松
gesy	表述 豧
get	玏
gete	青筋 表盘
getf	静待
getg	表征 甤
geth	青竹 豵
getj	青稞 逐利
getl	青年 逐年
getr	静穆
gets	逐条
geud	表头 豴
geue	五脏六腑
geuf	青壮 䝑
geug	静美
geuj	表彰 表意 表单 静音
geun	表决
geuq	逐次
geus	表亲
geuu	静立
geuv	靓妆
geux	表弟
geuy	静养
gevd	表姑
geve	表姐
gevf	表妹
gevg	表姨
gevk	静如
gevn	靓妞 䝓
gevp	表婶
gevt	表姊
gevv	靓女
gevy	豤
gewa	青黛
gewb	靓仔
gewd	死有余辜
gewg	一边倒 表侄
gewh	逐个 静候
geww	静坐
gexb	逐级
gexe	万有引力
gexi	青纱
gexv	青绿
gexx	青丝 五彩缤纷
geye	青衣
geyg	表语
geyi	豖
geyj	剢
geyn	静谧 豟
geyt	瑶族
geyw	静夜 豥
geyx	表率
gfk	于
gfqn	玩
gfac	球茎
gfaf	死无葬身之地
gfak	球鞋
gfal	球菌
gfan	球艺
gfar	曹雪芹
gfax	事无巨细
gfbh	邘
gfbm	玩出
gfbp	一走了之
gfbw	球队
gfcy	珐 死无对证
gfck	球台
gfdc	玩友
gfdf	一块石头落地
gfdg	一二三
gfdj	瓀
gfdl	球面
gfdm	玩耍
gfds	一场春梦
gfej	球胆
gffg	珪
gffh	青云直上
gffn	球场 㻬
gffp	玩过
gfft	事过境迁
gffu	一干二净 天南地北
gffv	玩雪
gffw	一堆堆
gfga	玩弄 球形 一朝天子一朝臣
gfgd	亞
gfgf	玩玩 堊
gfgg	王老五
gfgj	蝁
gfgn	惡
gfgo	鵶
gfgp	䢝
gfgq	一朝一夕
gfgr	万无一失
gfgw	平起平坐 㰳
gfgx	青霉素
gfgy	珐琅 琧
gfh	玕
gfhh	五十步笑百步
gfhj	球桌
gfhq	玩物
gfhw	玩具 瑱
gfhx	于此
gfiy	球
gfif	一动不动 玩法
gfig	死去活来 来者不善，善者不来 一动不如一静 一夫当关，万夫莫开
gfik	一声不吭
gfil	一去不回
gfip	玩赏
gfiq	一寸光阴一寸金
gfir	来者不拒 一去不复返
gfit	万劫不复
gfiu	来者不善
gfjg	于是
gfjp	琎
gfjt	球星 一无是处
gfkf	玩味 吞云吐雾
gfkm	球员
gflf	盂 玩转
gflk	迂回
gflm	瓄
gfls	五雷轰顶
gflt	下坡路
gfmi	平地风波
gfmr	球风
gfnh	玮
gfnf	一霎那 璹
gfnn	㺮
gfno	瓙
gfod	球类
gfoi	一塌糊涂
gfon	残垣断壁
gfoo	玩火
gfop	球迷 画地为牢
gfow	迂腐
gfpk	迂 天壤之别
gfpa	球赛
gfpb	一墙之隔
gfpf	玩完
gfpg	玩家
gfpl	正规军
gfpw	一场空
gfqc	一专多能
gfqg	一夫多妻
gfqi	玩乐
gfqr	玩忽
gfqt	瑞雪兆丰年
gfra	一无所获
gfrd	一无所成
gfre	一无所有
gfrf	球技 一无所求
gfrr	球拍 开场白
gfrt	一无所知 一无所长 一无所得
gfru	理直气壮
gfsb	一无可取
gfsf	球杆
gfth	玩牌
gftj	琽
gftt	玩笑
gftv	一元复始
gftx	珯
gfty	㪀
gfud	球状
gfui	迂阔
gfuj	玩意
gfup	㼀
gfuw	责无旁贷
gfuy	球门
gfvb	玩好
gfwf	亚运会
gfwj	玩偶
gfwk	玩命
gfwm	瓉
gfwn	死无全尸
gfwr	一鼓作气
gfws	球体
gfwu	玩伴
gfwy	玞
gfxl	天无绝人之路
gfyc	再教育
gfyd	素未谋面
gfye	球衣
gfym	球市
ggg	王 玨
ggaa	一式
ggab	环节
ggad	一项
ggaj	一幕
ggan	一世
ggap	顿开茅塞
ggaq	一匹
ggav	一切 环切
ggaw	一共
ggay	歪理邪说 珷
ggbb	王子
ggbg	环卫
ggbi	王孙
ggbj	一隅
ggbp	一院
ggcb	琶
ggcc	一双
ggce	一通
ggcf	一对
ggck	一台
ggcp	天理难容
ggda	一碟
ggdb	环顾
ggdc	王码
ggdd	一套
ggdf	事与愿违 万事大吉
ggdg	天下太平 天下大事
ggdh	璀璨夺目
ggdj	一百 五百
ggdl	一面
ggdm	一页
ggdn	一成 五成
ggdp	一碗
ggdq	一克
ggdt	一帮 天下大乱
ggdy	一丈
ggey	琢
ggee	一月 五月
ggef	一脚
ggel	五舅
ggem	一股
ggeo	五脏
ggep	一边 一腔
gges	五彩
gget	五毛
ggew	一脸
ggfa	一截
ggfb	一击 天王老子
ggfc	一支 天下无双
ggfd	环城 一事无成 平平无奇
ggff	一款 来来去去 一来二去
ggfg	五十 一干
ggfh	一起 玗
ggfj	王朝
ggfn	一场 一块
ggfp	于事无补
ggfq	一无
ggft	王者 天下无敌
ggfu	环境
ggfw	一堆
ggga	一盏 环形
gggb	一顿
gggc	一致
gggd	一天 一天天
ggge	一表
gggf	环球 一五一十
gggg	琵琶 瑟瑟 五环 龶
gggj	一天到晚
gggk	一带
gggm	一两 一再
gggo	一来
gggp	天下一家
gggq	一万 一列
gggt	一来一往 璱
gggx	五毒
gghe	一瞬
gghf	一睹
gghi	一步 五叔
gghj	一桌
gghk	一点 琅琅上口
gghq	一餐
gghv	一眼
gghw	一具
gghx	一些
ggiy	环 一流 环游 环流
ggic	一滩
ggid	五湖
ggif	王法
ggig	天下兴亡，匹夫有责 㺽
ggih	琳琅满目
ggii	平平淡淡 至死不渝
ggip	一堂 天理不容
ggiq	一溜
ggir	一派
ggis	一潭
ggit	一省 万死不辞
ggiu	一滴
ggiw	一举
ggjf	瑼
ggjg	一旦
ggji	一晃
ggjj	一日
ggjl	璢
ggjn	璤
ggjq	一晚
ggjs	一颗
ggjt	五星 一览 玲珑剔透
ggju	事到临头
ggjw	死于非命
ggke	一别
ggkf	一味
ggkg	一号 珸
ggkk	吞吞吐吐
ggkr	一听
gglf	一团
gglg	一辆 王国
gglh	五四
gglk	一回
ggll	来来回回
gglp	五连 一连
gglt	一路
gglu	一圈
gglw	一轮
ggmf	一周
ggmg	一同
ggmh	㺰
ggmj	一则
ggmm	环山
ggms	一朵
ggmw	五内
ggnt	瑟
ggna	一展
ggnf	一层 开天辟地
ggng	玙
ggnl	一愣
ggnm	一届
ggnn	一局
ggnr	瑟瑟发抖
ggny	一心 珁
ggoa	一度
ggod	一类
ggoj	瑨
ggoq	一炮
ggos	琢磨
ggou	一粒
ggov	一数
ggow	一座 王府
ggoy	一米
ggpf	王冠
ggpg	一定
ggpj	一审
ggpk	王宫
ggpn	五官
ggpp	平平安安 严严实实
ggpw	一窝
ggpy	环视
ggqc	一色
ggqe	一角
ggqj	五旬
ggqk	一句
ggqm	玻璃钢
ggqn	一顿饭
ggqq	形形色色 五金
ggqt	璈
ggqv	琴键
ggqy	至理名言
ggrc	一把
ggrg	王后 五岳
ggrj	一排 青天白日
ggrm	一罐
ggrn	一所
ggrp	一挥
ggrq	环抱
ggrr	歪歪扭扭
ggrs	一打
ggrt	一手
ggru	殊死搏斗
ggrx	一批 五指
ggsa	一栋
ggsc	王权
ggsf	一枝
ggsg	一杯 一本
ggsh	一想
ggsi	一档
ggsj	一棵
ggsk	五哥
ggsr	环环相扣
ggst	一枚
ggsu	一样 琹
ggsv	一根 一概
ggsw	一枪
ggsy	两两相望
ggta	理事长
ggtb	一季
ggtd	一筹
