auui	以
xqwv	净额
nbmv	眼见
spiz	胜过
kypq	景气
cvkd	发电
ccyo	丝毫 组织部
tecu	传给 仾
fguu	感人
ibzu	概论
xjhk	羡慕 冰雪聪明 羨慕 冰雪聰明
zmaw	遍及 濃縮
nvwf	图库
ispo	构造
ftgg	欧元
zsqs	调解
xesx	遵行
efls	戴上 騎上
gzjg	还需 天诛地灭
ycwg	赢家 贏家
zeps	读物
isjb	三地
beiw	也未
okfi	中式
gdkp	五星
yarj	充斥 變質
aatv	出货 出貨 網絡化
qlvu	外貌
emis	再三
apfu	收拾
tkue	但会
tplo	作战 侧重点 优缺点
gkks	更易
kekv	里昂 晅
tgsx	例行 優勝
ytkq	夜晚
uwzf	念头 领头
ypnb	放眼
topw	保管
mlwd	则被
fvuo	指向 擬向
qfyu	军方
xtkm	首映
tyjx	倍增
wvwd	疼痛
uzzo	追问 人满为患 興沖沖
yozs	高调 烹调
rqdj	移居
yzot	这只
dsqt	通风
khzq	最深
lrtp	悲伤 悲傷
mhib	黑帮
tpfr	伤势
zftu	汇价
izsk	过得
izxn	过着
izjy	过境
fihd	夺取
zfjq	渐趋
ztbe	谁也
gjfv	压抑
hxii	严禁 聪慧
vrbw	入院
rduw	反贪 反貪
fwgu	太原
kvhz	日落
tbsy	他用
fetd	打假 打分
gkjq	更趋
rajw	私下
xhsy	并用
brxk	孤单
wiea	空运
xsgf	前天
ypco	施加
rxrb	秋季
tifa	射击
htjo	恭喜 瓦釜雷鸣 瓦釜雷鳴
zpea	海运
zexe	酒精 湳 㶠
fyxf	接送
wdfo	被扣 家屬區
nqls	掌上 當上
tpov	伤口 傷口 俈 倁
djzj	圣洁
fiif	夺标 㩒
diwg	对家
rqop	称呼
wtmp	腐败 褒贬
xcxq	数次
fytz	擅自 摘自
fojb	操场
iqea	机动
lqqw	餐馆
cucm	缴纳
wdwq	瘫痪
ecwl	互补
utyr	介意
fewb	打字
iwfl	未到
trky	任由
apwm	收视
sxxx	行善
qobu	免除
tsxb	身兼
fbhx	邪恶
byza	防治
thcu	供给 偡 㑙
fdap	招收 摨
pstu	物价
kruw	思念
xajy	逆境
bzgz	退还 随波逐流 隨波逐流
zeqb	斗争 浡
uejy	情境 全境
eevq	博爱 博愛
faez	报酬
ecml	无罪 要點
cvbl	发了 终了
oowt	贵宾
juiq	趁机
etip	进攻
cuxj	媲美 给养
yigj	新春
obow	跟踪
fydt	较难
kdeg	电玩
jozp	嘉许 地中海 臺海
djni	剧团
fdrq	据称 挪移 大盤
yiwr	亲密 親密
bhts	随身 隨身
dqfh	弥撒
hqap	营收
hsuk	警惕
uubf	人际
gbau	不以 不給
tdtv	分化 假货 杀鸡儆猴 假貨
jgdb	古巴
jgud	古怪
qqpj	多重
cbuu	好人 妇人 继承人 婦人
kspo	明知 明智
satj	服侍
zjml	法则
enzq	直觉
uzfd	迫切 从头到尾
pjtp	重伤 動作 重傷 無聲片
wgnt	家具 磨具 䨈
pjyr	特意 失恋 失意
vwrx	留心
rrfe	秘技
uzbh	追随 追隨
tjjd	做起
nehs	国有
jbwt	教义
ypbp	族群 族羣
binq	寻常 尋常
frvr	插入
xkdi	曾对
zxzz	滋润 涕淚
cqyc	绝望
hyhb	菩萨 菩薩
wztg	实例
iqwr	机密
yxzu	辨认 商洽
jdyv	声言 聲言
pzpg	简短 簿籍 無法無天
hczt	苏州 药浴
cehs	续期
orzq	听觉
uuqo	人名
fdyu	大方 大於
okyl	中立 喅
zzrq	之称
muzq	内设
fwia	太极 打字機 太空梭
jops	尤物
aspw	水管
aacg	出线
nvds	四通
rpxq	必将
qogl	名列
pfjv	年老
gvnf	死因
zczh	沙漠 沙灘
jzja	走去
djvw	居留 彌留
rbba	秉承
ooiv	品格 喿
rgzd	后记
zykb	流畅
inpt	相符
ciyp	红旗 红颜 纵横交错
pjdd	重叠
bbty	书信
tkqc	偶尔
uuzq	从没
flaa	排出 划出
flhk	排在
iwzg	术语
bfea	陆运
ecun	无惧
ecid	无权
ghdp	开张
dwhk	尽在
lduz	紧迫
zgzj	语法 谢天谢地 谈天说地
zkql	课外
lojb	战场 战地
zqim	讽刺
msxh	购并
lorx	点心 㤐
wcvu	礼貌
fets	转身
dtdf	难民
zwtu	议价
auzg	验证
euwb	十字 玪
zzcm	之母
awfz	及至
rdfy	反抗
jaiz	去过
jbdp	地皮 教改
muti	肉体
vqwk	受审 爱神 愛神 飲宴
feyz	奇迹
trgm	版面
sqdf	股民
ggpm	研制 硬币 研製
frxt	轨道 斩首
tfio	倚赖 倚賴
xbtr	兼任
pjhs	特有 特警 失散
edsq	配股
tjph	做错
mszo	崩溃 崩潰
uugl	从政
fgjv	捷克
dhup	异性
wdff	被拒
jodj	喜剧
cjtx	结伴
cjzo	结识
nihd	团聚
pwjb	管教
hzdx	薄弱
uupo	人造 愴
bzxd	子弟
tagb	仍不
cntp	组件
tdwi	分割
rdfg	反感
gfen	天真
rssj	手脚
aszd	水泥 水波
ytsj	交待 站住脚
hkpx	在乎 暮氣
qqne	多国
gvuu	死人
jvpf	老年
jeiy	考核
ncrs	助手
gmyx	两旁 兩旁 面談 面議
djqq	居多
qbwg	急症
zyuo	流向
giup	耐性
xtwg	首家 道家 首富
dhoo	展品
yowi	高空
neev	国王
wfyc	寄望
hqzf	带头 蘇浙
ypfe	旋转
dhzw	异议
yotr	就任
lvqd	紫色
zbmh	词典 词曲
yira	新秀
zgzf	源头 语汇
zfzo	试问
ovsd	路径 口径
jooq	鼓吹 歖
cmuw	纲领
hdlq	聚餐
jefl	赶到 考據
oord	遣返
qexn	写着
hztg	范例 落伍
zegx	请来
rzrq	迁移
ydhg	变革
tifo	体操
guyx	一旁 一齊
guzf	一头 殲滅
beeg	也与
rxpm	心血 税制
rskd	手电
xvmh	火炭
auex	以西
tfct	代办
wvhs	它有
jvxt	老道 垗
ubfa	快报
mvwv	见底 见客
vvwb	金庸
mljg	则需
pjid	特权
enue	真情
cvls	纸上
frpr	执笔 大手笔
fyor	接听
fbue	盛会 成全 抒情 盛情 盛譽
yzjf	这款 這款
jhrq	堪称
eccc	无缘 協 ㈿ ㊯ 珕 㼃
cvef	发票
wmcg	视线
zexf	评判 酒类 清炖
mets	置身
pujd	铃声
dwrx	尽心 忍心
gxrm	磁盘
tuty	价位
wcxz	废料
kybz	影子
fzme	搁置
zung	激光 闪光 闪耀 洽購
eetd	二分 十二分
dozc	又为
isne	三国
cxis	小三
gbqs	不解
gbuq	不懈
gbor	不听
ngcg	光线
htzc	共为
qoss	名册
hkek	在理
wbti	字体 字段 字集 空降兵
fboo	成品
ziex	江西
jvtv	老化
tzfb	自成
xoem	兑现
pofs	告示
uwwt	含义
zizt	沐浴 淋浴 江淮
fbjb	邪教 扫地 掃地
xhze	并请
ypkm	放映
znex	沮丧
enpn	直销
vvpb	金银
pces	长青
qbgi	急于
inhd	相聚
cswg	约定
ojzy	哭泣 哭闹 中下游 哈爾濱市
wgng	家园 磨光 定購 顮
lkhm	桌布
aszx	能说
yoje	高考 高墙
yame	弃置 棄置
zyti	液体 流体
khpg	最短
ecgk	无碍
wdii	痛楚 褬
mhwv	黑客
gbct	万维
xjhs	装有 盖世
izzl	过滤
seya	德育
ztus	谁的
pnui	销毁
phpj	错失 舞動
wzqb	应急
ixnv	栏目
rske	手里
tufr	八折
gbjh	不堪
zzfg	之感
aapj	出笼 出動
pjnd	失眠 範圍 重圍
mgdj	同居
qqug	多余
cbyo	她就
jswz	均应
fqto	投保 擔保
zpzk	汽油
swpf	往年
fkwi	抽空
ypiz	放过
encg	直线
eszp	青海
qogg	勉励
gldb	政局
zyfg	流感
xtin	首相
fonc	捐助 區縣
kibb	时限
xafe	逆转
eafv	动摇 运抵
mwyo	崇高
ffqp	掩饰
wjhx	庄严
fzeg	连环
uewk	会审 全裸
tqhk	躲在
kslz	遏止
izxf	过关 过半
bgya	隔离 隔離
kdty	电信 电位
zhwm	漠视
pmhc	制药
vjmu	猪肉
zuue	激情 激愤 激憤
ooyc	遗忘 遺忘
ekgx	醒来
xovc	总务
pegj	镇压 無毒不丈夫
fxef	拦截
zwxb	议决
guie	一枝
gurz	一科
gujt	一堆
lskm	上映
jozc	尤为
pnmu	牛肉
wevk	主旨
otgb	只顾
nggb	光顾 骨碌碌 貦
pfac	年幼
pfxq	年资 年資
pmpw	血管 钢管 钢锭
exzx	西洋 平淡 无米之炊
zqzr	沉闷 学派
wbrx	良心
yojk	京都
zmxs	门前
tyjj	信封
xsov	前路
idcs	契约
wefr	宣誓
rgtf	后代
zypm	流血 滴血
ueqg	皇冠
rxiq	乘机 心机
prbl	笑了
hqno	带回
jbom	教员
khin	最想
fapk	报复
lrwo	悲哀
yoto	敦促
zhft	港区
etaw	进驻
hskf	敬畏
asvh	熊猫 熊貓
zegu	请愿 滿載而歸
zhga	谋求
lqqq	餐饮
zewt	讲义
kpgz	归还
dtgi	难于 难耐 忍俊不禁
wewf	宝库 實驗室
hsfa	警报
tujj	八卦 仁人志士
lsuk	上个
rxzf	心头
aatu	出价
lolb	占卜
bgtw	司仪
otlo	只占
nvyt	四六
igup	本性
ngfd	光大 䀖
ughq	合营
nojb	回教
wctr	安息
gvja	死去
dpgl	改正
tstu	身价 乑
fsvw	拘留
ksep	明珠
zhas	洪水 灌水
kucg	界线
qtoi	风味
fefo	捕捉 戒驕戒躁
gdgl	破裂
swfe	脉搏 腕套
uzgz	追逐
ftdw	推迟
flzg	排污 排汙
fbsx	盛行
poaa	造出
eccz	无边
mhyt	黑夜
uexs	会前 䶄
zfin	试想
izkz	过早
cjja	尘埃
zuzg	认证 论证 论语
jxwl	增补 蟄 專營店
wgzc	广为
frhq	热带
agwm	卫视
zqzx	学说 没谱
rohd	积聚
fuxf	输送 擙
wzuy	应邀
dbyx	艰辛
zguu	证人 举人 㳁
orze	听讲 听清
uuzy	人流
lsao	上台
lste	上传
jupq	士气
qlyo	外部
pstv	生化
ksux	申奥
emtj	再做 馬伕
xuzx	冷淡
jaiq	劫机
pctt	每份
pmef	制裁
vstb	狗仔
eggc	玩耍
rnbb	看书
tkxj	修养 修養
hxts	晋身
wgzy	病房 家访 寒流
wdhq	疲劳
amjb	马场
amzf	马头
afdh	参展
nqhk	常在
kqqr	晚饭
bsxq	陶瓷
oiot	喇叭
hqzp	欺诈
cvxf	发送 发烧
wuql	窗外
zeir	评析
faki	顿时 报时
ucnq	惯常 慣常
dwbl	尽了
ixls	楼上
cgeq	线索
pkfi	复式
pkpv	筛选
gjuz	压迫
ptxf	锻炼
ddsj	双脚
guxy	一粒
doin	又想 强档
fdtp	大作 大片 轻伤 扭伤 切片 扭傷
cxio	小事
gbgv	不死
rdiq	反恐
kvjr	日志
doti	召集 彈射
nvca	四级
ymmu	市内
ttwv	份额 份額
fzlv	至此
exmg	西岸
terp	何必 何種
vcec	妥协 妥協
olol	足足
czwm	巡视 巡禮
byfz	防护
ioio	事事 整整
vqjb	受教
fsqm	抱负
ypfl	放到
kvlv	昆虫
rnok	看中
ytft	郊区
amcl	马力
yofd	高大 高招
zoro	启程 活蹦乱跳 啟程
ekio	理事 幹事
zqin	设想
spjb	胜地 腹地
yoeg	就与 高干
cjks	结盟
fgkn	感冒
yijk	新都
zxtu	溢价
mtod	网吧
hqjg	蒙古 䩵
zuml	认罪
fdlv	据此 掻
iqas	机能
sjxa	雕塑
wzzp	应许
kmng	曙光
hvsp	获胜
wbzj	疗法 唐诗
feea	转运 转动 打动
mxxf	赠送
rjdk	九届
gbcd	不经
okem	中南 戰馬
tafi	公式
wecl	主力
wewy	主宰
abya	孕育
igqd	本色
vbwc	犯案
ytzf	交汇
uecp	全省
fbqo	成名 盛名
hsro	有种 散乱
jvlq	老虎
bpbz	君子 虱子 孫子
fdsj	招待 大街 大脚 轰然
ksvq	易受
zszi	泡沫
lfqa	非凡
krov	思路
rgzy	拜访
bifq	柔软
fkag	捍卫
bbzb	书讯
bbpu	书签
enwi	真空
tztz	偏偏
eahz	动荡
kqpf	晚年
tiwi	杀害 殺害
vklo	备战
nqjd	掌声 掌聲
pjtq	等你
uxrr	奥秘
zjzb	诗词
fypg	较短
wzps	实物
xefp	精致 精鹽
uwug	领悟 領悟 領會
ztpo	谁知
zqhd	学友 盜取
gjpm	压制
pzzj	简洁
ippn	才算
gfex	天平
rxpo	心智 䑯
rxjy	心境 秋雨
aayp	出产 幾許 出遊
jgyz	古迹
pjyt	失效 特效 等效
syxz	用料
ubub	白白 恨恨
cblv	好些 好處
fbzg	成语 扫兴 盛誉
hsug	有余 有鬼 散會
gvtp	死伤 死傷
tpzg	作证 俄语 臭氣沖天
oefa	呈报
fqyp	投放 投产
xblo	决战
opoq	呼唤 呼喚
irjb	板块
wixs	空前 床前
wdtr	初版
valo	迎战
esng	青睐 靗
csmv	约见
qmht	负荷
btsw	飞往
tkdi	倡导
pjlv	特此
ylmu	站内
yzdp	这张
qjgk	几百
zkbg	间隔
qqze	饮酒
zyuu	游人
dwkl	尽显
zetq	请您
mjid	默契
pcge	繁殖
dpup	属性 强制性 双重性 強制性
guor	一听
jwfc	下车
phte	升值
gfht	天花
qlrz	外科
extr	平息
igyo	本部
hkwu	在座
gvgh	死刑
wypi	衣钵
txbh	伴随 伴隨
pctp	每件
yvsx	言行
kero	里程 野种
swio	往事
podj	知己
dsfi	勇夺
inbg	相隔 貢
tfxc	倒数 代数
tyfc	停车
tdus	假的
yxgg	商厦
cvcc	婚纱 发丝
khdt	最难
jbql	场外
zfhd	汇聚
nghb	园艺
hhgx	惹来
uejw	会下
uxdj	粤剧
fyxs	较前
isin	构想
zuze	认清
ojnt	器具
dfmh	戏曲
olzx	虽说
fexf	转送
ydkg	变量
gurb	一季
guik	一棵
lsbg	上司
okqt	中风
hduu	友人 聚众
bcbz	孔子 孙子
cohy	加薪
eobh	可随 可隨
hopb	右键
aojw	台下
exdf	平民
cmiy	母校
wagb	永不
vowg	各家
qoxq	名次 名将
lofd	占据 奌
fyqb	抗争
dpcn	改组
gkdt	更难
qths	罕有
mvgi	见于
jzvr	走入
twxq	依次
thxj	供养 供養 仗義
gmup	两性 兩性
frpg	拆卸
fchz	东芝
byyj	孩童
rntq	看你
pjzw	重演
tyxc	倍数
tksx	修行
xbvk	兼备
bans	剥削
ypug	旅途
yonm	高尚 部門 豪門 敲門
vcwz	务实
frdi	执导
fycl	接力 拉力
zqvl	深处
vezm	猜测
faje	报考
hxyr	恶意
rxxs	税前
prqo	笔名
puyz	答辩
wmcl	视力
zepv	评选
mlcv	贴纸
ghdo	开辟
iatj	极佳
hzmp	落败
fydx	较弱
qrjb	农场
eapq	运气
zezt	潮州
zgke	兴旺 湹
ugfs	怀抱
picn	筹组
tije	体坛
jwsj	下周 下週
lsgl	上列
ovmg	口岸
ighd	工友
eovc	可乐
qluu	外人
qlpc	外长 外钞
qlzg	外语
syki	用时
noro	回程 過程
cbsy	好用
gezu	而论
tkdh	伸展
pcpc	每每
veke	狂野
tuwv	谷底
fcsx	车行
iowe	事主
hdii	取材
cacw	纠缠
pccv	长发 长女
jazx	却说
ypqw	旅馆 許久
gdqs	破解
wnpv	祖先
rnzh	租户
ryea	航运
tlik	侦查 偵查
ldty	坚信
xnov	粗口 煱
osln	跑步
fuja	抢劫 搶劫 夾擊 捨去
zfuy	诚邀
zyvc	游乐
xtnt	道具
izrx	过剩
wzlo	实战 应战
ldld	紧紧
zern	请看
pvjl	选址
cwcx	缩小
pcpk	繁复 长笛
czbf	边际
yogz	竞逐 競逐
ydro	变种
dkzr	引诱
rsig	手工 手柄
rsiu	手枪 手槍
kvzg	日语
aalo	出战
jabu	去除 㘭
igvi	本条 項鍊
syyr	用意 徬
voiy	各校
nooi	回味 矂
cbfg	好感
wbzb	字词 㾼
lvjb	此地
twzy	住房
tqod	你呢
pcrb	每季
vqxt	受益 受粉
zwxq	注资 注資
zqxn	沿着 浓烟 沉着
will	空虚 害蟲
zpwc	洗礼
xjcc	美妙
ynyt	音效
rkoi	香味
fqno	挽回
rbfd	殷切
pqre	气质
pjcs	特约 失约
ylao	站台
eaii	素材
zicb	讨好
wrjj	密封
skpj	得失
fypw	接管
rqls	船上
yvkg	竟是
hefk	勤奋
mliz	罪过
efwv	载客 票额 載客 票額
bgtj	预估 預估
qbxj	饲养
qsvq	饱受
nipc	团长
fdie	轻巧 招標
pbhk	银幕
bhhz	堕落 墮落
ifzg	标语 丰沛
yoci	熟习
xlng	烛光
jedo	墙壁
xoec	总要
poer	钟表
dpwz	属实
iptv	才华
oksk	中旬
takk	仍旧
dkzg	引证
yuhs	方有
svgc	月历
syfl	用到
qqvl	多处
pfzf	年头
gaga	求救 救救 破綻百出
jzrj	走近
jztn	走俏
fczf	车头 打架斗殴
wdbg	官司
upue	性情
frbu	拆除 㨀
ypgh	放开
rjdf	欣慰
pcjv	长老
jaas	却能
sbzj	律法
zyzn	流泪 漩渦
tfkg	倒是
rrpg	秘籍
yopj	高等 就範 墪
tzgg	偏远
zotk	问候
uexz	情迷
gaym	救市
falx	报业
fkwc	提案
ecjd	无声
cvty	发信
pgzb	短讯 生吞活剥
zuza	诊治
mlhk	贴在
kbms	邮购
jezb	填词
fgup	感性
hshs	葡萄 莫须有 郁郁 莫須有
xjls	装上
bgsh	隔膜
ctpa	维系
frwg	暂定 折磨 搬家
ifks	标明
xqtu	奖牌
lorg	战后
xqpv	遴选
tjsj	优待
qszq	触觉
lsfc	上车
rqke	千里
fdzj	大法
bzbc	子孙
cxmr	小贩
gbpz	不乏
zzwk	之神
rdti	反射
rszd	手记
edcg	支线
rmrl	毛利 毛毡
xvwx	火灾
nqgb	且不
tbin	他想
jguw	古今
syiz	用过
vovl	各处
apjb	收场 出生地
tvtj	低估
bpev	君王
frld	抓紧
fcbz	车子 摆架子 擺架子
bywi	防守 防空 陪衬
gmsj	两周 两脚 兩週
hdcy	取缔
rrin	所想
fsxb	抱歉
sqfv	股指
htls	花上
beca	阿妈
tbid	侵权
sjuu	待人
kgjp	是故
ikvl	查处
inof	相距 橕
csjg	约需
xjqf	美军
save	胎儿
xzek	料理
pqoi	气味
pjjb	特地 失地 重地
pjub	特快 重创 失忆
sobl	够了
cvql	婚外
wfsw	寄往
jbwc	教案
ekrz	理科
rooo	甜品
cnrc	组委
yzwg	这家 文学家 辩论赛 這家
dsml	通则
jbif	雪柜 地标 雪櫃
xkuu	单人
qjte	几何
jwxl	惠普
ekxn	朝着
zffq	试探
ovor	跳跃
kdpq	电气
bgmv	预见 隔山
zwci	演习
mtdf	网民
jxxf	增减 報送
jghz	震荡 輕薄
jefa	墙报 填报
iofe	整套
yifl	亲戚 新到 親戚
kpuo	归向
feiq	转机
jgio	坏事
hszb	警讯
sxaa	腾出 勝出 騰出
gusu	一脸 一臉
guaa	一出 一級
tadw	公尺
xvxj	北美 火燒
glok	正中
vbph	犯错
pvky	先由
vgzg	印证
uoex	向西
ugmg	合同 會同 龥
cowz	如实
tkrs	伸手
xuja	冷却
ioce	束缚
pcrc	每秒
xhgl	并列
hqki	其时 蒙昧
flue	到会
vqek	受理
njhs	固有
wguo	定向
cjcj	娃娃 姑姑
bfii	建材 防护林
zpwy	洗衣
wfiz	穿过
wjkl	突显
jsro	胡乱
hhin	若想
bbwg	限定
tfjk	倒塌
wbtf	唐代
kijw	时下
jdmv	起见
wffl	寄到
dowh	强度
ypsb	旋律
zykk	液晶 流暢
vbgl	猛烈
rqie	移植 盤桓
jozb	喜讯
mlrj	贴近 㥈
djdh	圣殿
zfsx	试行
nvzc	图为
ytvk	齐备
kyxz	影迷
ftfe	殴打
rjiy	稽核
tjft	优雅
zewr	讲究
ziea	鸿运
zkhm	瀑布
czku	边界
auxv	以北
tqsa	佩服
egzj	玩法
zkjb	湿地
zdxn	记着
xzty	迷信
zyym	闹市
oovw	遗留 遺留
tdqs	分解
hteh	花卉
zpzo	洗澡
eafh	素描 动辄
yicw	新娘 対
frwo	热衷
ywti	文集 文体
hkyo	在京
jvta	老公 老翁
xjtd	美分 养分 養分
fpxb	致歉
znas	泪水 溫水
hcuw	蕴含 勒令
mvas	山水 內能
hsfo	有损 有損
frea	搬运 搬动 掀动
toxk	保单
yorj	就近
ghzm	开门
nvok	图中
pxts	翻身
yawg	离家 離家
dvhr	尼斯
wbyz	痕迹 字迹
psya	生育
tgcb	使她
rocb	和好
idiq	契机
guzk	原油
tzya	偏离 偏離 自戀
zsoi	调味
okcg	中线
ijii	桂林 樹林
xalr	慈悲
kdxe	电灯
zhef	满载 滿載
ngaf	光驱 光纜
uofc	向东
zdjv	泥土 斗鸡走狗
vwsj	留待 贸然 貿然
jxfd	增大 增撥
sdwt	包袱
jauo	去向
htro	共和
ipfr	攻势
wgsb	定律
glxv	烈火
fqgx	换来
vifl	彩排
okwz	忠实
rnfb	看成
ftzu	推论
xfqo	减免
zqfa	学报
dfrx	民心
rnze	看清
tkpk	修复
yxkg	商量 議題 適量 劑量
qsgh	解开
ifcd	枢纽
fesy	转用 套用
pfsv	年月
hsjx	有幸 警報 䔳
rxvz	秋冬
fmzm	揣测
mgdp	同属
ecsk	要得
ecup	无悔 毒性
uoxn	向着
zcki	为时 漅
nbls	当上
tdks	分明
aufc	以东 验车
xhzx	并说
bbls	书上
rrqk	秘鲁
newf	国庆 国库
zgpq	语气
zkyw	课文 渂
kpgx	归来
nozy	回流 回访 迴流
pjtr	重任
wgsy	家用
uuwu	从容
emvk	责备
uecv	舒缓
mhlo	黑点
glen	正直
dfeo	民歌 屈指可數
wdyr	初恋 痉挛 廢話
jadi	却对
yaig	竣工
zflo	试点 游击战
bezl	也让
gbby	不予 不防
wvfz	庇护
pcvl	长处
wzby	应予
smls	岛上
ueyr	情意 会意 情話
ibec	概要
wgro	赛程 病程 賽程
svrn	月租
iwqo	未免
pmcs	制约
xslf	前辈
xjky	美景
yxwg	商家 商定 商廈 議定
ubaa	创出
meno	赎回
gbpt	不符
ypqt	旋风 放风
hzjb	落地 薄霧
tbne	他国
tquu	你从
wexf	宣判 广西壮族自治区
ecas	无能 協約
xxwb	善良
oaet	踏进
fdcb	大好
aazp	出海
ytfy	交接
ftmh	雅典
dmfg	观感
gbcu	不给
exub	平仓
jzov	走路
deti	那段
wgup	定性 突破性
frfd	热切 抓緊
okxq	中将 中奖
phyo	升高 無誤
jkzf	坦诚 埋头
jfiz	越过 䞖
uewj	会社
fege	转而
cxuu	小人 好為人師
sdmq	包罗
bgpc	司长
wbqq	良多
bekm	阿曼
dgmv	登山
zxzh	说谎
gcwg	厂家
hqjb	营地 劳教
ojjo	吐露
wbyv	序言
qtzf	风头
tuyc	欲望 慾望
tzdo	自强
inaa	想出 相繼
wfjx	庆幸
gauu	救人 求人 天網恢恢
tvzr	倾诉
djti	圣体 屠杀 屠殺
pezq	铺设 物理学
ojsk	吓得 嚇得
guib	一概 一帮
zzwe	之主
pfcv	年终
fhec	戒毒
coll	贺卡 賀卡
zkua	温泉
yimg	亦同
qqxf	多半
pfxc	年数
zruu	派人 诱人 活人
hjuy	苦恼
wguy	家禽 家破人亡
otzx	只说
yxfa	商报
fvrs	援手
fgwx	威廉
rguu	后人
skmv	得见
yztg	这使 這使
ctor	雀跃
xnin	着想
iwih	柠檬 檸檬
fvqs	抵触 抵觸
yozd	高涨 高漲
uosw	向往
cxua	小泉
gbcq	不绝
fegj	打压 揚長而去
exxj	西装 平装
nczq	助学
iiyl	林立 检查站 檢查站
lfwc	非礼
eddi	配对
mwnm	崇尚
xqnq	奖赏
xotd	总分
loqo	点名
uebb	全书 情书
tvwx	低廉 化痰
wkzt	神州
zees	清静 清靜
ykdw	竭尽
timl	体贴
gdsx	五行
psze	生计
zqmg	沿岸
ikzo	查问
iywf	校庆
uute	从何
hyyr	蓄意
dgyo	颇高 登高 頗高
taho	公职
flwb	排序 排字
zetf	清代
kygh	影碟
qojb	名教
jyzk	坊间
xxfr	炎热
envq	真爱 真愛
zsph	调升
fdfb	大成 切成
uewf	皇室
ecjp	无故
ovyx	路旁
dizy	导游 对流
byas	防水
fvfy	抵抗 採摘
zeue	酒会 澣
fyfp	牙医 牙醫
endp	直属 真皮
upws	恤衫
ckck	细细
cjzg	结语
jdki	超时
ghzh	开户
nbfb	当成 睷
ixvu	样貌 樣貌
xkfp	兽医
htpg	花钱
rget	后进
zpqf	海军 海風
fkkf	揭晓
zdvr	涌入 湧入
eoph	歌舞 无中生有
aazl	出让
sxpn	行销 脱销 勝算
biro	柔和
ctqb	纷争
zuxv	闪烁
yzgf	这天 這天
diiz	已过
okec	中毒 中专
cbvb	好比
vvqd	金色
vwtw	留住
fyfr	接轨
oozt	贵州 遗训 貴州
gfne	天国
qqyd	多变
vxjz	逃走
ftpv	推选
nbrn	眼看
vbfh	犯戒
tzxe	自尊
fkix	抽样 抽樣
xjzh	美满 装潢 美滿
ghds	开通
iiok	梦中
whit	宽松
tjtv	优化 倰
aawr	出庭
jabe	却也
guxj	原装 原状 一類
wktm	神仙
jdwi	起床
pofr	造势 笨口拙舌 笨嘴拙舌
gxyc	灭亡
pvtk	选修
hkzx	在说
wfql	室外
bbgk	书画
zqxs	学前
fdeo	大哥
tksg	但须 但須
znec	消毒
ffxj	掩盖
bgfa	预报
puif	锦标
pjnb	失当
qosp	名胜
tvjw	低下
gjgn	春夏
hgim	荆棘 荊棘
uzfg	追捧 禽流感
wjwg	庄家 庒
ztyr	谢意
psgz	生还
fctu	车牌 批发价
ghfc	开车 五花大绑
eorn	可看
zwnv	注目 㴭
tyzg	信誉
bhgi	敢于
kzjp	遇袭
jeub	赶快
roka	积累
vrmt	入网
iwwg	未定
htze	共计
xhms	并购
fyed	拉丁
fdwm	轻视 大麻
zavr	闯入 渗入 滲入
fgas	咸水 揼
gdsj	歹徒
sxue	行情
wboe	序号 字号 序號 字數 字號
wiiv	空格 㝝
tjzc	做为
ykha	章节
ecnq	无常
xxyr	善意
sjsp	膨胀
femp	转账 打败
otrx	只剩 唯心 㗹
vxps	逃生 䬾
wmzz	视之
vquh	爱惜 愛惜
uyya	禽畜
fepo	打造 转告
baec	既要 既无
fkbk	揭阳 揭陽
fwfr	态势 挨家挨戶
hklx	在业 在業 草叢
cbrn	好看
cwhb	综艺
whco	宽恕 寬恕
xfhk	关在
guoi	一味 原味
vvjf	金城
wvty	客位
fpzb	致词 鹽池
hyzc	荒谬
dito	对保
kybw	影院
jwzn	下滑
iecc	巧妙
uejf	全城
poue	知情 钟情
tyfa	停顿 停頓
fusa	轮胎
cvev	女王
kvyt	日夜
apcv	收发 卫生纸
zqdf	渔民 漁民
cxmg	小幅
gfev	天王
ngkd	光照 光电
gjrx	春秋
xffz	送达
dgqq	颇多 頗多
czze	编订
zgfh	举措
fdgi	大于
gbds	不通
gbzx	不详
pfhy	年薪
zrls	染上
bzwe	辽宁 买主
jqgi	趋于 槖
rkxn	香烟
tkpv	候选 鋚
zpft	海区 海鸥
gdhv	破获
zdzd	婆婆 沼泽 汉译 潺潺
loiw	战术
xwki	糖果
htos	共鸣
cbof	好呀
zjuw	法令
bnwg	阻塞
wgsg	病征
vlcv	处女
cvzh	发泄
xoro	总和
bzdf	子民
elaa	刊出
iqjp	恐龙
ggyu	远方
pqfr	气势
gbdf	万民
bgto	预售 預售
xckv	数日
eoyv	可言
psaa	生出
sydw	用尽
xtsy	首脑
bwrr	院所
flas	排水
tifl	杀到 杀掉 殺到 殺掉
lxdi	业已 業已
zqwt	学府
fdti	大体
micl	财力
uepj	慎重 舉動 舉重
wlnc	补助
vlgj	独奏 独步天下 獨步天下
cbor	好听
adug	盈余
tlgd	侦破 偵破
roki	适时
wzsk	应得
pezk	午间 重要问题
aawg	出家 參賽 斷定
ieug	巧合 䲾
ivql	格外
uzls	追上
ggvl	远处
xogd	冲破
itdb	松弛
sdwk	包裹
txpf	伴我
pjno	重回 䉢
